        Country           IT Job Statistic  Value Currency
1       Belgium Business Analyst       MIN  75087       NA
2        France Business Analyst       MIN  44496       NA
3       Germany Business Analyst       MIN  30797       NA
4        Greece Business Analyst       MIN  64890       NA
5         Italy Business Analyst       MIN  44496       NA
6   Netherlands Business Analyst       MIN  64890       NA
7        Poland Business Analyst       MIN  58401       NA
8      Portugal Business Analyst       MIN  58401       NA
9       Romania Business Analyst       MIN  83275       NA
10        Spain Business Analyst       MIN  64890       NA
11       Sweden Business Analyst       MIN  44496       NA
13      Belgium Business Analyst    MEDIAN  91773       NA
14       France Business Analyst    MEDIAN  91773       NA
15      Germany Business Analyst    MEDIAN  91773       NA
16       Greece Business Analyst    MEDIAN  64890       NA
17        Italy Business Analyst    MEDIAN  44496       NA
18  Netherlands Business Analyst    MEDIAN  91773       NA
19       Poland Business Analyst    MEDIAN  89661       NA
20     Portugal Business Analyst    MEDIAN  75087       NA
21      Romania Business Analyst    MEDIAN  83275       NA
22        Spain Business Analyst    MEDIAN  88992       NA
23       Sweden Business Analyst    MEDIAN  91773       NA
25      Belgium Business Analyst      MEAN  85098       NA
26       France Business Analyst      MEAN  83593       NA
27      Germany Business Analyst      MEAN  81917       NA
28       Greece Business Analyst      MEAN  68289       NA
29        Italy Business Analyst      MEAN  44496       NA
30  Netherlands Business Analyst      MEAN  88374       NA
31       Poland Business Analyst      MEAN  90131       NA
32     Portugal Business Analyst      MEAN  72254       NA
33      Romania Business Analyst      MEAN  83275       NA
34        Spain Business Analyst      MEAN 114103       NA
35       Sweden Business Analyst      MEAN  85843       NA
37      Belgium Business Analyst       MAX  91773       NA
38       France Business Analyst       MAX 114510       NA
39      Germany Business Analyst       MAX 129780       NA
40       Greece Business Analyst       MAX  75087       NA
41        Italy Business Analyst       MAX  44496       NA
42  Netherlands Business Analyst       MAX 108459       NA
43       Poland Business Analyst       MAX 158105       NA
44     Portugal Business Analyst       MAX  83275       NA
45      Romania Business Analyst       MAX  83275       NA
46        Spain Business Analyst       MAX 190550       NA
47       Sweden Business Analyst       MAX 127205       NA
49      Belgium Business Analyst       STD   9139       NA
50       France Business Analyst       STD  35716       NA
51      Germany Business Analyst       STD  27193       NA
52       Greece Business Analyst       STD   5887       NA
