index,Country,Job,Skills
480273,Sweden,Software Engineer,azure
143440,Sweden,Senior Data Scientist,tableau
143440,Sweden,Senior Data Scientist,sql
302541,Sweden,Senior Data Scientist,spark
143440,Sweden,Senior Data Scientist,snowflake
143440,Sweden,Senior Data Scientist,python
673878,Sweden,Senior Data Scientist,python
143440,Sweden,Senior Data Scientist,looker
143440,Sweden,Senior Data Scientist,kafka
143440,Sweden,Senior Data Scientist,aws
143440,Sweden,Senior Data Scientist,airflow
163033,Sweden,Senior Data Engineer,tableau
30726,Sweden,Senior Data Engineer,sql
163033,Sweden,Senior Data Engineer,sql
345853,Sweden,Senior Data Engineer,sql
465969,Sweden,Senior Data Engineer,sql
163033,Sweden,Senior Data Engineer,spark
345853,Sweden,Senior Data Engineer,spark
465969,Sweden,Senior Data Engineer,snowflake
345853,Sweden,Senior Data Engineer,scala
163033,Sweden,Senior Data Engineer,python
271911,Sweden,Senior Data Engineer,python
345853,Sweden,Senior Data Engineer,python
465969,Sweden,Senior Data Engineer,python
546084,Sweden,Senior Data Engineer,python
163033,Sweden,Senior Data Engineer,looker
345853,Sweden,Senior Data Engineer,kubernetes
163033,Sweden,Senior Data Engineer,java
345853,Sweden,Senior Data Engineer,java
345853,Sweden,Senior Data Engineer,go
546084,Sweden,Senior Data Engineer,gcp
30726,Sweden,Senior Data Engineer,azure
345853,Sweden,Senior Data Engineer,azure
163033,Sweden,Senior Data Engineer,aws
465969,Sweden,Senior Data Engineer,aws
345853,Sweden,Senior Data Engineer,airflow
627205,Sweden,Senior Data Analyst,sql
627205,Sweden,Senior Data Analyst,python
715617,Sweden,Senior Data Analyst,python
627205,Sweden,Senior Data Analyst,looker
715617,Sweden,Senior Data Analyst,databricks
15699,Sweden,Senior Data Analyst,azure
715617,Sweden,Senior Data Analyst,azure
185339,Sweden,Machine Learning Engineer,tensorflow
438952,Sweden,Machine Learning Engineer,tensorflow
185339,Sweden,Machine Learning Engineer,scala
438952,Sweden,Machine Learning Engineer,scala
185339,Sweden,Machine Learning Engineer,pytorch
438952,Sweden,Machine Learning Engineer,pytorch
185339,Sweden,Machine Learning Engineer,python
438952,Sweden,Machine Learning Engineer,python
581724,Sweden,Machine Learning Engineer,python
438952,Sweden,Machine Learning Engineer,numpy
185339,Sweden,Machine Learning Engineer,java
581724,Sweden,Machine Learning Engineer,java
581724,Sweden,Machine Learning Engineer,go
581724,Sweden,Machine Learning Engineer,gcp
285380,Sweden,Data Scientist,tensorflow
8965,Sweden,Data Scientist,tableau
11617,Sweden,Data Scientist,sql
142060,Sweden,Data Scientist,sql
285380,Sweden,Data Scientist,sql
385970,Sweden,Data Scientist,sql
741613,Sweden,Data Scientist,sql
142060,Sweden,Data Scientist,snowflake
285380,Sweden,Data Scientist,scikit-learn
8965,Sweden,Data Scientist,redshift
285380,Sweden,Data Scientist,pytorch
8965,Sweden,Data Scientist,python
11617,Sweden,Data Scientist,python
285380,Sweden,Data Scientist,python
741613,Sweden,Data Scientist,python
285380,Sweden,Data Scientist,pandas
285380,Sweden,Data Scientist,numpy
142060,Sweden,Data Scientist,looker
142060,Sweden,Data Scientist,git
169596,Sweden,Data Scientist,gcp
8965,Sweden,Data Scientist,databricks
142060,Sweden,Data Scientist,bigquery
142060,Sweden,Data Scientist,airflow
513245,Sweden,Data Engineer,terraform
513245,Sweden,Data Engineer,tensorflow
