,paramcd,job,aval,avalu,paramtyp,srcdom
0,MIN,Business Analyst,30797,USD,DERIVED,DATA JOBS
1,MEDIAN,Business Analyst,91773,USD,DERIVED,DATA JOBS
2,MEAN,Business Analyst,88457,USD,DERIVED,DATA JOBS
3,MAX,Business Analyst,190550,USD,DERIVED,DATA JOBS
4,MIN,Cloud Engineer,58401,USD,DERIVED,DATA JOBS
5,MEDIAN,Cloud Engineer,91773,USD,DERIVED,DATA JOBS
6,MEAN,Cloud Engineer,106687,USD,DERIVED,DATA JOBS
7,MAX,Cloud Engineer,227630,USD,DERIVED,DATA JOBS
8,MIN,Data Analyst,44496,USD,DERIVED,DATA JOBS
9,MEDIAN,Data Analyst,101455,USD,DERIVED,DATA JOBS
10,MEAN,Data Analyst,98325,USD,DERIVED,DATA JOBS
11,MAX,Data Analyst,206000,USD,DERIVED,DATA JOBS
12,MIN,Data Engineer,46350,USD,DERIVED,DATA JOBS
13,MEDIAN,Data Engineer,101231,USD,DERIVED,DATA JOBS
14,MEAN,Data Engineer,117209,USD,DERIVED,DATA JOBS
15,MAX,Data Engineer,256470,USD,DERIVED,DATA JOBS
16,MIN,Data Scientist,44496,USD,DERIVED,DATA JOBS
17,MEDIAN,Data Scientist,126690,USD,DERIVED,DATA JOBS
18,MEAN,Data Scientist,119998,USD,DERIVED,DATA JOBS
19,MAX,Data Scientist,197760,USD,DERIVED,DATA JOBS
20,MIN,Machine Learning Engineer,44496,USD,DERIVED,DATA JOBS
21,MEDIAN,Machine Learning Engineer,104059,USD,DERIVED,DATA JOBS
22,MEAN,Machine Learning Engineer,120164,USD,DERIVED,DATA JOBS
23,MAX,Machine Learning Engineer,231750,USD,DERIVED,DATA JOBS
24,MIN,Senior Data Analyst,51053,USD,DERIVED,DATA JOBS
25,MEDIAN,Senior Data Analyst,114510,USD,DERIVED,DATA JOBS
26,MEAN,Senior Data Analyst,112929,USD,DERIVED,DATA JOBS
27,MAX,Senior Data Analyst,200335,USD,DERIVED,DATA JOBS
28,MIN,Senior Data Engineer,46350,USD,DERIVED,DATA JOBS
29,MEDIAN,Senior Data Engineer,151925,USD,DERIVED,DATA JOBS
30,MEAN,Senior Data Engineer,131504,USD,DERIVED,DATA JOBS
31,MAX,Senior Data Engineer,181795,USD,DERIVED,DATA JOBS
32,MIN,Senior Data Scientist,46350,USD,DERIVED,DATA JOBS
33,MEDIAN,Senior Data Scientist,162225,USD,DERIVED,DATA JOBS
34,MEAN,Senior Data Scientist,142497,USD,DERIVED,DATA JOBS
35,MAX,Senior Data Scientist,231235,USD,DERIVED,DATA JOBS
36,MIN,Software Engineer,44496,USD,DERIVED,DATA JOBS
37,MEDIAN,Software Engineer,91773,USD,DERIVED,DATA JOBS
38,MEAN,Software Engineer,105350,USD,DERIVED,DATA JOBS
39,MAX,Software Engineer,211150,USD,DERIVED,DATA JOBS
