country,paramcd,job,aval,avalu,srcdom,paramtyp
,MAX,Business Analyst,109683,USD,DATA JOBS,DERIVED
,MEAN,Business Analyst,81579,USD,DATA JOBS,DERIVED
,MEDIAN,Business Analyst,82297,USD,DATA JOBS,DERIVED
,MIN,Business Analyst,57647,USD,DATA JOBS,DERIVED
,STD,Business Analyst,25270,USD,DATA JOBS,DERIVED
,MAX,Cloud Engineer,136993,USD,DATA JOBS,DERIVED
,MEAN,Cloud Engineer,96658,USD,DATA JOBS,DERIVED
,MEDIAN,Cloud Engineer,88256,USD,DATA JOBS,DERIVED
,MIN,Cloud Engineer,76566,USD,DATA JOBS,DERIVED
,STD,Cloud Engineer,51206,USD,DATA JOBS,DERIVED
,MAX,Data Analyst,162693,USD,DATA JOBS,DERIVED
,MEAN,Data Analyst,95269,USD,DATA JOBS,DERIVED
,MEDIAN,Data Analyst,90645,USD,DATA JOBS,DERIVED
,MIN,Data Analyst,51975,USD,DATA JOBS,DERIVED
,STD,Data Analyst,32540,USD,DATA JOBS,DERIVED
,MAX,Data Engineer,171206,USD,DATA JOBS,DERIVED
,MEAN,Data Engineer,119526,USD,DATA JOBS,DERIVED
,MEDIAN,Data Engineer,121793,USD,DATA JOBS,DERIVED
,MIN,Data Engineer,71461,USD,DATA JOBS,DERIVED
,STD,Data Engineer,31952,USD,DATA JOBS,DERIVED
,MAX,Data Scientist,170726,USD,DATA JOBS,DERIVED
,MEAN,Data Scientist,116333,USD,DATA JOBS,DERIVED
,MEDIAN,Data Scientist,119886,USD,DATA JOBS,DERIVED
,MIN,Data Scientist,62891,USD,DATA JOBS,DERIVED
,STD,Data Scientist,37901,USD,DATA JOBS,DERIVED
,MAX,Machine Learning Engineer,180866,USD,DATA JOBS,DERIVED
,MEAN,Machine Learning Engineer,122271,USD,DATA JOBS,DERIVED
,MEDIAN,Machine Learning Engineer,121616,USD,DATA JOBS,DERIVED
,MIN,Machine Learning Engineer,72482,USD,DATA JOBS,DERIVED
,STD,Machine Learning Engineer,42295,USD,DATA JOBS,DERIVED
,MAX,Senior Data Analyst,132226,USD,DATA JOBS,DERIVED
,MEAN,Senior Data Analyst,110348,USD,DATA JOBS,DERIVED
,MEDIAN,Senior Data Analyst,113097,USD,DATA JOBS,DERIVED
,MIN,Senior Data Analyst,84964,USD,DATA JOBS,DERIVED
,STD,Senior Data Analyst,21426,USD,DATA JOBS,DERIVED
,MAX,Senior Data Engineer,141448,USD,DATA JOBS,DERIVED
,MEAN,Senior Data Engineer,123426,USD,DATA JOBS,DERIVED
,MEDIAN,Senior Data Engineer,130213,USD,DATA JOBS,DERIVED
,MIN,Senior Data Engineer,93242,USD,DATA JOBS,DERIVED
,STD,Senior Data Engineer,23489,USD,DATA JOBS,DERIVED
,MAX,Senior Data Scientist,169062,USD,DATA JOBS,DERIVED
,MEAN,Senior Data Scientist,130944,USD,DATA JOBS,DERIVED
,MEDIAN,Senior Data Scientist,136304,USD,DATA JOBS,DERIVED
,MIN,Senior Data Scientist,87273,USD,DATA JOBS,DERIVED
,STD,Senior Data Scientist,35780,USD,DATA JOBS,DERIVED
,MAX,Software Engineer,148616,USD,DATA JOBS,DERIVED
,MEAN,Software Engineer,103529,USD,DATA JOBS,DERIVED
,MEDIAN,Software Engineer,98680,USD,DATA JOBS,DERIVED
,MIN,Software Engineer,71622,USD,DATA JOBS,DERIVED
,STD,Software Engineer,42684,USD,DATA JOBS,DERIVED
Belgium,MAX,Business Analyst,91773,USD,DATA JOBS,
Belgium,MEAN,Business Analyst,85098,USD,DATA JOBS,
Belgium,MEDIAN,Business Analyst,91773,USD,DATA JOBS,
Belgium,MIN,Business Analyst,75087,USD,DATA JOBS,
Belgium,STD,Business Analyst,9139,USD,DATA JOBS,
Belgium,MAX,Data Analyst,169950,USD,DATA JOBS,
Belgium,MEAN,Data Analyst,99287,USD,DATA JOBS,
Belgium,MEDIAN,Data Analyst,80297,USD,DATA JOBS,
Belgium,MIN,Data Analyst,56637,USD,DATA JOBS,
Belgium,STD,Data Analyst,46066,USD,DATA JOBS,
Belgium,MAX,Data Engineer,151925,USD,DATA JOBS,
Belgium,MEAN,Data Engineer,110675,USD,DATA JOBS,
Belgium,MEDIAN,Data Engineer,101250,USD,DATA JOBS,
Belgium,MIN,Data Engineer,58401,USD,DATA JOBS,
Belgium,STD,Data Engineer,30231,USD,DATA JOBS,
Belgium,MAX,Data Scientist,162225,USD,DATA JOBS,
Belgium,MEAN,Data Scientist,122577,USD,DATA JOBS,
Belgium,MEDIAN,Data Scientist,126999,USD,DATA JOBS,
Belgium,MIN,Data Scientist,58401,USD,DATA JOBS,
Belgium,STD,Data Scientist,43717,USD,DATA JOBS,
Belgium,MAX,Machine Learning Engineer,104059,USD,DATA JOBS,
Belgium,MEAN,Machine Learning Engineer,86377,USD,DATA JOBS,
Belgium,MEDIAN,Machine Learning Engineer,91773,USD,DATA JOBS,
Belgium,MIN,Machine Learning Engineer,75087,USD,DATA JOBS,
Belgium,STD,Machine Learning Engineer,11419,USD,DATA JOBS,
Belgium,MAX,Senior Data Engineer,91773,USD,DATA JOBS,
Belgium,MEAN,Senior Data Engineer,91773,USD,DATA JOBS,
