param,paramcd,job,aval,avalu,srcdom,paramtyp
Belgium,MIN,Business Analyst,75087,,DATA JOBS,
France,MIN,Business Analyst,44496,,DATA JOBS,
Germany,MIN,Business Analyst,30797,,DATA JOBS,
Greece,MIN,Business Analyst,64890,,DATA JOBS,
Italy,MIN,Business Analyst,44496,,DATA JOBS,
Netherlands,MIN,Business Analyst,64890,,DATA JOBS,
Poland,MIN,Business Analyst,58401,,DATA JOBS,
Portugal,MIN,Business Analyst,58401,,DATA JOBS,
Romania,MIN,Business Analyst,83275,,DATA JOBS,
Spain,MIN,Business Analyst,64890,,DATA JOBS,
Sweden,MIN,Business Analyst,44496,,DATA JOBS,
,MIN,Business Analyst,57647,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Business Analyst,91773,,DATA JOBS,
France,MEDIAN,Business Analyst,91773,,DATA JOBS,
Germany,MEDIAN,Business Analyst,91773,,DATA JOBS,
Greece,MEDIAN,Business Analyst,64890,,DATA JOBS,
Italy,MEDIAN,Business Analyst,44496,,DATA JOBS,
Netherlands,MEDIAN,Business Analyst,91773,,DATA JOBS,
Poland,MEDIAN,Business Analyst,89661,,DATA JOBS,
Portugal,MEDIAN,Business Analyst,75087,,DATA JOBS,
Romania,MEDIAN,Business Analyst,83275,,DATA JOBS,
Spain,MEDIAN,Business Analyst,88992,,DATA JOBS,
Sweden,MEDIAN,Business Analyst,91773,,DATA JOBS,
,MEDIAN,Business Analyst,82297,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Business Analyst,85098,,DATA JOBS,
France,MEAN,Business Analyst,83593,,DATA JOBS,
Germany,MEAN,Business Analyst,81917,,DATA JOBS,
Greece,MEAN,Business Analyst,68289,,DATA JOBS,
Italy,MEAN,Business Analyst,44496,,DATA JOBS,
Netherlands,MEAN,Business Analyst,88374,,DATA JOBS,
Poland,MEAN,Business Analyst,90131,,DATA JOBS,
Portugal,MEAN,Business Analyst,72254,,DATA JOBS,
Romania,MEAN,Business Analyst,83275,,DATA JOBS,
Spain,MEAN,Business Analyst,114103,,DATA JOBS,
Sweden,MEAN,Business Analyst,85843,,DATA JOBS,
,MEAN,Business Analyst,81579,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Business Analyst,91773,,DATA JOBS,
France,MAX,Business Analyst,114510,,DATA JOBS,
Germany,MAX,Business Analyst,129780,,DATA JOBS,
Greece,MAX,Business Analyst,75087,,DATA JOBS,
Italy,MAX,Business Analyst,44496,,DATA JOBS,
Netherlands,MAX,Business Analyst,108459,,DATA JOBS,
Poland,MAX,Business Analyst,158105,,DATA JOBS,
Portugal,MAX,Business Analyst,83275,,DATA JOBS,
Romania,MAX,Business Analyst,83275,,DATA JOBS,
Spain,MAX,Business Analyst,190550,,DATA JOBS,
Sweden,MAX,Business Analyst,127205,,DATA JOBS,
,MAX,Business Analyst,109683,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Business Analyst,9139,,DATA JOBS,
France,STD,Business Analyst,35716,,DATA JOBS,
Germany,STD,Business Analyst,27193,,DATA JOBS,
Greece,STD,Business Analyst,5887,,DATA JOBS,
Netherlands,STD,Business Analyst,21982,,DATA JOBS,
Poland,STD,Business Analyst,30928,,DATA JOBS,
Portugal,STD,Business Analyst,12676,,DATA JOBS,
Spain,STD,Business Analyst,58172,,DATA JOBS,
Sweden,STD,Business Analyst,25738,,DATA JOBS,
,STD,Business Analyst,25270,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Business Analyst,5,,DATA JOBS,
France,N,Business Analyst,3,,DATA JOBS,
Germany,N,Business Analyst,11,,DATA JOBS,
Greece,N,Business Analyst,3,,DATA JOBS,
Italy,N,Business Analyst,1,,DATA JOBS,
Netherlands,N,Business Analyst,3,,DATA JOBS,
Poland,N,Business Analyst,8,,DATA JOBS,
Portugal,N,Business Analyst,3,,DATA JOBS,
Romania,N,Business Analyst,1,,DATA JOBS,
Spain,N,Business Analyst,5,,DATA JOBS,
Sweden,N,Business Analyst,7,,DATA JOBS,
,N,Business Analyst,50,,DATA JOBS,N OVERALL
France,MIN,Cloud Engineer,109147,,DATA JOBS,
Germany,MIN,Cloud Engineer,83275,,DATA JOBS,
Hungary,MIN,Cloud Engineer,91773,,DATA JOBS,
Poland,MIN,Cloud Engineer,58401,,DATA JOBS,
Romania,MIN,Cloud Engineer,58401,,DATA JOBS,
Spain,MIN,Cloud Engineer,58401,,DATA JOBS,
,MIN,Cloud Engineer,76566,,DATA JOBS,MIN COUNTRY AVG
France,MEDIAN,Cloud Engineer,109147,,DATA JOBS,
Germany,MEDIAN,Cloud Engineer,91773,,DATA JOBS,
Hungary,MEDIAN,Cloud Engineer,91773,,DATA JOBS,
Poland,MEDIAN,Cloud Engineer,86674,,DATA JOBS,
Romania,MEDIAN,Cloud Engineer,58401,,DATA JOBS,
Spain,MEDIAN,Cloud Engineer,91773,,DATA JOBS,
,MEDIAN,Cloud Engineer,88256,,DATA JOBS,MEDIAN COUNTRY AVG
France,MEAN,Cloud Engineer,109147,,DATA JOBS,
Germany,MEAN,Cloud Engineer,123195,,DATA JOBS,
Hungary,MEAN,Cloud Engineer,91773,,DATA JOBS,
Poland,MEAN,Cloud Engineer,104373,,DATA JOBS,
Romania,MEAN,Cloud Engineer,58401,,DATA JOBS,
Spain,MEAN,Cloud Engineer,93061,,DATA JOBS,
,MEAN,Cloud Engineer,96658,,DATA JOBS,MEAN COUNTRY AVG
France,MAX,Cloud Engineer,109147,,DATA JOBS,
Germany,MAX,Cloud Engineer,206000,,DATA JOBS,
Hungary,MAX,Cloud Engineer,91773,,DATA JOBS,
Poland,MAX,Cloud Engineer,227630,,DATA JOBS,
Romania,MAX,Cloud Engineer,58401,,DATA JOBS,
Spain,MAX,Cloud Engineer,129010,,DATA JOBS,
,MAX,Cloud Engineer,136993,,DATA JOBS,MAX COUNTRY AVG
Germany,STD,Cloud Engineer,56651,,DATA JOBS,
Poland,STD,Cloud Engineer,61645,,DATA JOBS,
Spain,STD,Cloud Engineer,35322,,DATA JOBS,
,STD,Cloud Engineer,51206,,DATA JOBS,STD COUNTRY AVG
France,N,Cloud Engineer,1,,DATA JOBS,
Germany,N,Cloud Engineer,7,,DATA JOBS,
Hungary,N,Cloud Engineer,1,,DATA JOBS,
Poland,N,Cloud Engineer,6,,DATA JOBS,
Romania,N,Cloud Engineer,1,,DATA JOBS,
Spain,N,Cloud Engineer,3,,DATA JOBS,
,N,Cloud Engineer,19,,DATA JOBS,N OVERALL
Belgium,MIN,Data Analyst,56637,,DATA JOBS,
Denmark,MIN,Data Analyst,58401,,DATA JOBS,
Finland,MIN,Data Analyst,74160,,DATA JOBS,
France,MIN,Data Analyst,46350,,DATA JOBS,
Germany,MIN,Data Analyst,52544,,DATA JOBS,
Greece,MIN,Data Analyst,54604,,DATA JOBS,
Hungary,MIN,Data Analyst,51053,,DATA JOBS,
Ireland,MIN,Data Analyst,44496,,DATA JOBS,
Italy,MIN,Data Analyst,46350,,DATA JOBS,
Netherlands,MIN,Data Analyst,54604,,DATA JOBS,
Poland,MIN,Data Analyst,44496,,DATA JOBS,
Portugal,MIN,Data Analyst,52544,,DATA JOBS,
