Skills,Job,Country,n,mean
python,Data Engineer,France,39.0,113622.05987179487
python,Data Scientist,France,34.0,109193.43544117648
sql,Data Engineer,France,33.0,113838.86166666666
spark,Data Engineer,Poland,32.0,116475.48999999999
python,Data Scientist,Germany,31.0,130754.1806451613
sql,Data Engineer,Poland,30.0,130507.83233333334
spark,Data Engineer,France,29.0,126948.28137931033
sql,Data Analyst,France,28.0,86175.48339285713
python,Machine Learning Engineer,Germany,28.0,122549.28964285714
python,Data Engineer,Poland,27.0,119536.80259259259
sql,Data Analyst,Poland,26.0,94164.24403846153
sql,Data Analyst,Germany,24.0,96498.8975
aws,Data Engineer,France,24.0,121785.80520833335
sql,Data Scientist,France,23.0,102273.64847826087
sql,Data Engineer,Portugal,21.0,123127.03380952378
sql,Data Scientist,Poland,21.0,127102.85833333332
azure,Data Engineer,France,21.0,104416.4461904762
sql,Data Engineer,Spain,20.0,123388.46375
python,Data Engineer,Germany,20.0,124519.76425000001
python,Data Analyst,France,20.0,97565.514
sql,Data Engineer,Germany,19.0,125852.66421052632
spark,Data Engineer,Germany,19.0,138888.12736842106
scala,Data Engineer,France,19.0,119790.19263157893
tableau,Data Analyst,France,18.0,75616.27694444444
python,Data Engineer,Spain,18.0,113891.4775
python,Data Engineer,Portugal,18.0,127962.39333333334
python,Data Scientist,Poland,18.0,128201.21027777779
python,Data Engineer,Netherlands,18.0,113555.86916666669
python,Data Engineer,Greece,18.0,95887.0775
python,Data Analyst,Germany,18.0,107370.20416666666
sql,Data Analyst,Spain,17.0,91585.29764705883
sql,Data Engineer,Greece,17.0,105502.80911764705
sql,Senior Data Scientist,Germany,17.0,154315.20588235295
python,Senior Data Scientist,Germany,17.0,163018.70588235295
nosql,Data Engineer,France,17.0,125953.00470588235
hadoop,Data Engineer,France,17.0,125943.52264705881
gcp,Data Engineer,France,17.0,112670.155
sql,Data Engineer,Netherlands,16.0,106070.65531249999
spark,Data Engineer,Spain,16.0,113486.623125
mongodb,Data Engineer,France,16.0,112096.05875
java,Data Engineer,France,16.0,114575.26874999999
excel,Data Analyst,Poland,16.0,76013.7103125
docker,Data Engineer,France,16.0,122931.465625
aws,Data Engineer,Poland,16.0,121926.63625
sql,Data Analyst,Portugal,15.0,105078.40266666668
python,Data Analyst,Poland,15.0,97046.94333333333
kafka,Data Engineer,France,15.0,126320.47033333335
jenkins,Data Engineer,France,15.0,117782.38833333335
git,Data Engineer,France,15.0,111054.11933333335
sql,Senior Data Engineer,Germany,14.0,135251.72785714286
python,Data Analyst,Spain,14.0,98962.76785714286
java,Data Engineer,Portugal,14.0,131719.63714285716
gcp,Data Engineer,Poland,14.0,103414.42785714286
aws,Data Engineer,Portugal,14.0,129493.07142857143
tableau,Data Analyst,Poland,13.0,108570.08153846154
tableau,Data Analyst,Germany,13.0,100127.48846153845
sql,Data Scientist,Germany,13.0,135295.05576923076
python,Machine Learning Engineer,Spain,13.0,128215.58846153846
python,Machine Learning Engineer,Portugal,13.0,142285.98269230768
python,Data Scientist,Portugal,13.0,128183.69807692307
python,Data Analyst,Portugal,13.0,94724.98
python,Machine Learning Engineer,Poland,13.0,127907.18269230769
bigquery,Data Engineer,Poland,13.0,125722.0376923077
azure,Data Engineer,Poland,13.0,116633.39692307691
aws,Data Engineer,Spain,13.0,109376.29423076923
aws,Senior Data Engineer,Germany,13.0,124162.53846153847
tableau,Data Scientist,France,12.0,125708.75333333334
spark,Data Engineer,Greece,12.0,98750.39166666666
spark,Data Scientist,Germany,12.0,136013.68875
r,Data Scientist,France,12.0,111071.42333333334
python,Machine Learning Engineer,Greece,12.0,121137.35583333333
hadoop,Data Engineer,Poland,12.0,109295.875
airflow,Data Engineer,France,12.0,144173.34875
sql,Data Analyst,Netherlands,11.0,98886.55454545455
sql,Data Analyst,Ireland,11.0,111521.56454545454
python,Data Scientist,Spain,11.0,101729.40136363637
python,Data Analyst,Netherlands,11.0,90471.92272727273
python,Data Engineer,Hungary,11.0,135396.49636363637
python,Senior Data Engineer,France,11.0,151925.0
python,Machine Learning Engineer,France,11.0,100538.20636363636
aws,Machine Learning Engineer,Germany,11.0,139779.98909090908
sql,Data Scientist,Portugal,10.0,141724.0345
spark,Data Scientist,Portugal,10.0,127308.206
spark,Data Engineer,Portugal,10.0,127454.054
pytorch,Machine Learning Engineer,Germany,10.0,99656.311
python,Data Scientist,Netherlands,10.0,149978.815
python,Data Scientist,Greece,10.0,100085.718
java,Data Engineer,Poland,10.0,90645.768
gcp,Data Analyst,Poland,10.0,92387.9615
azure,Data Engineer,Greece,10.0,91103.5
azure,Senior Data Engineer,Germany,10.0,141457.419
aws,Data Engineer,Germany,10.0,129842.83
ansible,Data Engineer,France,10.0,118725.78250000002
airflow,Data Engineer,Portugal,10.0,129202.89100000002
tableau,Data Analyst,Spain,9.0,92957.5
tableau,Data Analyst,Ireland,9.0,89604.27777777778
sql,Data Scientist,Netherlands,9.0,156416.37222222224
sql,Data Engineer,Italy,9.0,114411.71333333333
sql,Senior Data Analyst,France,9.0,110120.33277777777
spark,Data Engineer,Netherlands,9.0,111159.83166666667
spark,Machine Learning Engineer,Germany,9.0,82880.66666666667
snowflake,Data Engineer,Poland,9.0,144861.83222222223
scala,Data Engineer,Poland,9.0,119319.77777777778
python,Senior Data Engineer,Spain,9.0,128450.49888888889
python,Senior Data Scientist,Poland,9.0,135785.81555555554
python,Senior Data Engineer,Germany,9.0,141209.91
kubernetes,Data Engineer,Netherlands,9.0,118989.49111111113
kubernetes,Data Engineer,France,9.0,129084.80722222221
kafka,Data Engineer,Spain,9.0,105280.42
kafka,Data Engineer,Netherlands,9.0,111159.83166666667
kafka,Data Engineer,Greece,9.0,95706.79888888888
java,Data Engineer,Spain,9.0,112434.45666666667
docker,Data Engineer,Netherlands,9.0,115842.26888888888
databricks,Data Engineer,Netherlands,9.0,118132.70277777777
c++,Machine Learning Engineer,Germany,9.0,104215.22833333333
azure,Data Analyst,France,9.0,85804.60777777777
aws,Machine Learning Engineer,Spain,9.0,129439.64222222223
aws,Data Engineer,Greece,9.0,101389.65222222223
airflow,Data Engineer,Poland,9.0,117832.0
tableau,Data Analyst,Portugal,8.0,98823.02812500001
tableau,Data Scientist,Poland,8.0,147473.21125
sql,Data Scientist,Spain,8.0,78579.08625
sql,Senior Data Scientist,Poland,8.0,132480.91749999998
sql,Data Analyst,Greece,8.0,97077.5
sql,Senior Data Engineer,France,8.0,151925.0
sql,Data Engineer,Belgium,8.0,114796.783125
spark,Machine Learning Engineer,Spain,8.0,138650.875
spark,Machine Learning Engineer,Poland,8.0,127569.23375
spark,Data Analyst,Poland,8.0,110467.5
spark,Senior Data Scientist,Germany,8.0,164091.875
spark,Senior Data Engineer,Germany,8.0,145371.625
snowflake,Senior Data Engineer,Germany,8.0,129368.0
snowflake,Data Engineer,France,8.0,141298.61875000002
r,Data Analyst,Ireland,8.0,102678.125
python,Machine Learning Engineer,Netherlands,8.0,141998.375
python,Data Scientist,Italy,8.0,107914.38750000001
python,Data Engineer,Italy,8.0,115330.3875
python,Data Engineer,Ireland,8.0,138949.18875
python,Data Analyst,Greece,8.0,124010.261875
pyspark,Data Engineer,Poland,8.0,139020.77375
power bi,Data Analyst,Poland,8.0,87002.8125
power bi,Data Analyst,France,8.0,86077.61499999999
mongodb,Machine Learning Engineer,Belgium,8.0,86501.7175
kubernetes,Machine Learning Engineer,Germany,8.0,147959.5
excel,Data Analyst,Portugal,8.0,82698.31375
excel,Data Analyst,France,8.0,88171.926875
azure,Data Engineer,Spain,8.0,125496.4875
azure,Data Engineer,Netherlands,8.0,119060.66125
azure,Data Engineer,Germany,8.0,112527.88625
azure,Data Analyst,Belgium,8.0,135078.96375
aws,Senior Data Engineer,Spain,8.0,135120.93625
aws,Machine Learning Engineer,Poland,8.0,110110.73375
aws,Data Engineer,Netherlands,8.0,103829.214375
aws,Data Engineer,Italy,8.0,116253.65375
airflow,Data Engineer,Germany,8.0,125287.9125
tensorflow,Machine Learning Engineer,France,7.0,98232.57142857143
sql,Data Analyst,Sweden,7.0,110039.60857142857
sql,Senior Data Analyst,Spain,7.0,109691.32142857143
sql,Senior Data Analyst,Germany,7.0,114514.22285714287
sql,Data Analyst,Belgium,7.0,124740.35714285714
