Skills,Country,n,mean,Job,index,alpha
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Business Analyst,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Cloud Engineer,1,A
python,Germany,138.0,125562.68739130434,Business Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Software Engineer,1,A
python,Germany,138.0,125562.68739130434,Software Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Senior Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Cloud Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Data Scientist,1,A
python,Germany,138.0,125562.68739130434,Senior Data Engineer,1,A
python,Germany,138.0,125562.68739130434,Machine Learning Engineer,1,A
python,Germany,138.0,125562.68739130434,Data Analyst,1,A
