Skills,Country,n,mean,Job
bash,Sweden,1.0,256.0,Data Engineer
rust,Germany,1.0,231.0,Machine Learning Engineer
opencv,Germany,1.0,231.0,Senior Data Scientist
opencv,Spain,1.0,211.0,Software Engineer
c++,Spain,1.0,211.0,Software Engineer
powerpoint,Greece,1.0,206.0,Senior Data Scientist
c,France,1.0,206.0,Data Analyst
debian,France,1.0,202.0,Software Engineer
c++,Netherlands,2.0,201.0,Machine Learning Engineer
matplotlib,Romania,1.0,200.0,Software Engineer
flask,Portugal,1.0,195.0,Machine Learning Engineer
vue,Netherlands,1.0,191.0,Software Engineer
tensorflow,Finland,1.0,191.0,Machine Learning Engineer
react,Netherlands,1.0,191.0,Software Engineer
bigquery,Finland,1.0,191.0,Machine Learning Engineer
angular,Netherlands,1.0,191.0,Software Engineer
keras,Germany,3.0,185.0,Data Scientist
keras,Germany,3.0,185.0,Senior Data Scientist
slack,Portugal,1.0,183.0,Machine Learning Engineer
github,Netherlands,1.0,180.0,Data Engineer
gitlab,Greece,2.0,179.0,Machine Learning Engineer
gitlab,Greece,2.0,179.0,Data Scientist
mongodb,Germany,6.0,178.0,Data Engineer
mongodb,Germany,6.0,178.0,Machine Learning Engineer
github,Greece,1.0,176.0,Data Scientist
bitbucket,Greece,1.0,176.0,Data Scientist
plotly,Spain,1.0,176.0,Senior Data Scientist
git,Ireland,3.0,174.0,Senior Data Scientist
git,Ireland,3.0,174.0,Senior Data Engineer
git,Ireland,3.0,174.0,Data Analyst
fastapi,Germany,2.0,172.0,Data Scientist
flow,Denmark,1.0,171.0,Data Scientist
unix,Spain,1.0,171.0,Machine Learning Engineer
tensorflow,Denmark,1.0,171.0,Machine Learning Engineer
rust,Ireland,1.0,171.0,Senior Data Scientist
opencv,Hungary,1.0,171.0,Machine Learning Engineer
neo4j,Ireland,1.0,171.0,Machine Learning Engineer
matplotlib,Ireland,1.0,171.0,Machine Learning Engineer
jira,Portugal,1.0,171.0,Machine Learning Engineer
java,Denmark,1.0,171.0,Machine Learning Engineer
golang,Netherlands,1.0,171.0,Machine Learning Engineer
fastapi,Spain,1.0,171.0,Machine Learning Engineer
fastapi,Netherlands,1.0,171.0,Machine Learning Engineer
mongo,Poland,1.0,170.0,Data Analyst
bigquery,Belgium,1.0,170.0,Data Analyst
numpy,Netherlands,2.0,169.0,Data Scientist
matplotlib,Netherlands,2.0,169.0,Data Scientist
unify,Ireland,1.0,169.0,Data Analyst
keras,Spain,5.0,167.0,Machine Learning Engineer
keras,Spain,5.0,167.0,Software Engineer
keras,Spain,5.0,167.0,Senior Data Engineer
scikit-learn,Netherlands,3.0,167.0,Data Scientist
pandas,Netherlands,4.0,166.0,Data Scientist
c,Portugal,1.0,165.0,Software Engineer
hadoop,Germany,8.0,164.0,Senior Data Engineer
hadoop,Germany,8.0,164.0,Data Scientist
hadoop,Germany,8.0,164.0,Senior Data Scientist
numpy,Portugal,5.0,164.0,Data Scientist
numpy,Portugal,5.0,164.0,Machine Learning Engineer
firebase,Germany,2.0,163.0,Software Engineer
theano,Portugal,1.0,162.0,Data Scientist
tensorflow,Italy,1.0,162.0,Data Scientist
seaborn,Netherlands,1.0,162.0,Data Scientist
sas,Hungary,2.0,162.0,Data Scientist
rshiny,France,2.0,162.0,Data Scientist
redshift,Sweden,1.0,162.0,Data Scientist
pytorch,Belgium,2.0,162.0,Data Scientist
