Skills,Group,T_Group,T6_9,T9_12,T12_15,T15_18,T18_21,T21_24,T24_27
rust,240 - 270,1,,1.0,,1.0,,,1.0
opencv,240 - 270,1,3.0,1.0,,1.0,,1.0,1.0
bash,240 - 270,1,10.0,,2.0,1.0,,,1.0
powerpoint,210 - 240,1,9.0,4.0,,,,1.0,
opencv,210 - 240,1,3.0,1.0,,1.0,,1.0,1.0
c++,210 - 240,1,,17.0,9.0,,1.0,1.0,
c,210 - 240,1,1.0,5.0,2.0,3.0,,1.0,
mongodb,180 - 210,2,3.0,14.0,4.0,,2.0,,
keras,180 - 210,2,2.0,13.0,,6.0,2.0,,
gitlab,180 - 210,2,10.0,6.0,1.0,,2.0,,
vue,180 - 210,1,,2.0,,,1.0,,
tensorflow,180 - 210,1,,17.0,15.0,5.0,1.0,,
slack,180 - 210,1,1.0,3.0,2.0,2.0,1.0,,
react,180 - 210,1,4.0,9.0,3.0,1.0,1.0,,
matplotlib,180 - 210,1,2.0,9.0,7.0,2.0,1.0,,
github,180 - 210,1,2.0,18.0,5.0,5.0,1.0,,
flask,180 - 210,1,,5.0,2.0,2.0,1.0,,
debian,180 - 210,1,,,,,1.0,,
c++,180 - 210,1,,17.0,9.0,,1.0,1.0,
bigquery,180 - 210,1,2.0,15.0,19.0,1.0,1.0,,
angular,180 - 210,1,3.0,5.0,,,1.0,,
nosql,150 - 180,8,5.0,26.0,6.0,8.0,,,
numpy,150 - 180,7,,11.0,14.0,7.0,,,
kafka,150 - 180,7,12.0,12.0,18.0,7.0,,,
aws,150 - 180,7,,41.0,43.0,7.0,,,
linux,150 - 180,6,6.0,24.0,,6.0,,,
keras,150 - 180,6,2.0,13.0,,6.0,2.0,,
gcp,150 - 180,6,,25.0,23.0,6.0,,,
tensorflow,150 - 180,5,,17.0,15.0,5.0,1.0,,
redshift,150 - 180,5,1.0,10.0,20.0,5.0,,,
jenkins,150 - 180,5,9.0,10.0,7.0,5.0,,,
hadoop,150 - 180,5,4.0,20.0,12.0,5.0,,,
github,150 - 180,5,2.0,18.0,5.0,5.0,1.0,,
t-sql,150 - 180,4,2.0,,,4.0,,,
spark,150 - 180,4,,38.0,38.0,4.0,,,
scikit-learn,150 - 180,4,6.0,6.0,12.0,4.0,,,
postgresql,150 - 180,4,3.0,5.0,13.0,4.0,,,
plotly,150 - 180,4,1.0,2.0,,4.0,,,
atlassian,150 - 180,4,2.0,2.0,,4.0,,,
unix,150 - 180,3,7.0,,2.0,3.0,,,
pytorch,150 - 180,3,,21.0,16.0,3.0,,,
kubernetes,150 - 180,3,9.0,24.0,14.0,3.0,,,
git,150 - 180,3,5.0,29.0,16.0,3.0,,,
fastapi,150 - 180,3,1.0,2.0,2.0,3.0,,,
c,150 - 180,3,1.0,5.0,2.0,3.0,,1.0,
ssis,150 - 180,2,5.0,6.0,4.0,2.0,,,
sql server,150 - 180,2,4.0,13.0,10.0,2.0,,,
splunk,150 - 180,2,,,,2.0,,,
slack,150 - 180,2,1.0,3.0,2.0,2.0,1.0,,
ruby,150 - 180,2,5.0,1.0,,2.0,,,
pyspark,150 - 180,2,,10.0,18.0,2.0,,,
perl,150 - 180,2,2.0,2.0,,2.0,,,
mysql,150 - 180,2,5.0,2.0,12.0,2.0,,,
matplotlib,150 - 180,2,2.0,9.0,7.0,2.0,1.0,,
jupyter,150 - 180,2,6.0,7.0,6.0,2.0,,,
jquery,150 - 180,2,1.0,1.0,,2.0,,,
html,150 - 180,2,4.0,4.0,,2.0,,,
ggplot2,150 - 180,2,,,,2.0,,,
gdpr,150 - 180,2,4.0,13.0,10.0,2.0,,,
flow,150 - 180,2,4.0,19.0,7.0,2.0,,,
flask,150 - 180,2,,5.0,2.0,2.0,1.0,,
dynamodb,150 - 180,2,1.0,2.0,,2.0,,,
docker,150 - 180,2,1.0,39.0,16.0,2.0,,,
css,150 - 180,2,3.0,5.0,,2.0,,,
confluence,150 - 180,2,5.0,2.0,4.0,2.0,,,
cassandra,150 - 180,2,3.0,3.0,,2.0,,,
bitbucket,150 - 180,2,4.0,,3.0,2.0,,,
airflow,150 - 180,2,,17.0,36.0,2.0,,,
unify,150 - 180,1,3.0,3.0,,1.0,,,
theano,150 - 180,1,,,1.0,1.0,,,
terraform,150 - 180,1,5.0,19.0,13.0,1.0,,,
swift,150 - 180,1,1.0,3.0,,1.0,,,
ssrs,150 - 180,1,2.0,3.0,,1.0,,,
snowflake,150 - 180,1,1.0,15.0,34.0,1.0,,,
smartsheet,150 - 180,1,,,,1.0,,,
shell,150 - 180,1,8.0,2.0,4.0,1.0,,,
seaborn,150 - 180,1,3.0,1.0,,1.0,,,
sass,150 - 180,1,,,,1.0,,,
sas,150 - 180,1,11.0,14.0,,1.0,,,
rust,150 - 180,1,,1.0,,1.0,,,1.0
rshiny,150 - 180,1,,,,1.0,,,
redhat,150 - 180,1,,,,1.0,,,
react,150 - 180,1,4.0,9.0,3.0,1.0,1.0,,
php,150 - 180,1,3.0,,,1.0,,,
phoenix,150 - 180,1,1.0,1.0,,1.0,,,
pandas,150 - 180,1,1.0,15.0,25.0,1.0,,,
oracle,150 - 180,1,14.0,14.0,17.0,1.0,,,
opencv,150 - 180,1,3.0,1.0,,1.0,,1.0,1.0
nltk,150 - 180,1,1.0,2.0,,1.0,,,
neo4j,150 - 180,1,3.0,2.0,,1.0,,,
mongo,150 - 180,1,,1.0,1.0,1.0,,,
macos,150 - 180,1,,,,1.0,,,
looker,150 - 180,1,1.0,18.0,29.0,1.0,,,
kotlin,150 - 180,1,2.0,1.0,,1.0,,,
jira,150 - 180,1,5.0,15.0,11.0,1.0,,,
javascript,150 - 180,1,10.0,11.0,2.0,1.0,,,
java,150 - 180,1,,43.0,19.0,1.0,,,
golang,150 - 180,1,4.0,,1.0,1.0,,,
firebase,150 - 180,1,,,,1.0,,,
dplyr,150 - 180,1,,,,1.0,,,
django,150 - 180,1,,,1.0,1.0,,,
dax,150 - 180,1,2.0,7.0,3.0,1.0,,,
couchdb,150 - 180,1,,1.0,,1.0,,,
c#,150 - 180,1,4.0,16.0,5.0,1.0,,,
bigquery,150 - 180,1,2.0,15.0,19.0,1.0,1.0,,
bash,150 - 180,1,10.0,,2.0,1.0,,,1.0
aurora,150 - 180,1,,,,1.0,,,
asp.net,150 - 180,1,,,,1.0,,,
asana,150 - 180,1,1.0,,,1.0,,,
ansible,150 - 180,1,5.0,5.0,2.0,1.0,,,
aws,120 - 150,43,,41.0,43.0,7.0,,,
spark,120 - 150,38,,38.0,38.0,4.0,,,
airflow,120 - 150,36,,17.0,36.0,2.0,,,
snowflake,120 - 150,34,1.0,15.0,34.0,1.0,,,
python,120 - 150,33,,82.0,33.0,,,,
looker,120 - 150,29,1.0,18.0,29.0,1.0,,,
databricks,120 - 150,28,7.0,19.0,28.0,,,,
