Skills,T6_9,T9_12,T12_15,T15_18,T18_21,T21_24,T24_27
aws,,41.0,43.0,7.0,,,
spark,,38.0,38.0,4.0,,,
airflow,,17.0,36.0,2.0,,,
snowflake,1.0,15.0,34.0,1.0,,,
python,,82.0,33.0,,,,
looker,1.0,18.0,29.0,1.0,,,
databricks,7.0,19.0,28.0,,,,
sql,,83.0,26.0,,,,
go,8.0,31.0,26.0,,,,
pandas,1.0,15.0,25.0,1.0,,,
azure,,64.0,24.0,,,,
gcp,,25.0,23.0,6.0,,,
redshift,1.0,10.0,20.0,5.0,,,
java,,43.0,19.0,1.0,,,
bigquery,2.0,15.0,19.0,1.0,1.0,,
kafka,12.0,12.0,18.0,7.0,,,
pyspark,,10.0,18.0,2.0,,,
oracle,14.0,14.0,17.0,1.0,,,
docker,1.0,39.0,16.0,2.0,,,
scala,,33.0,16.0,,,,
git,5.0,29.0,16.0,3.0,,,
pytorch,,21.0,16.0,3.0,,,
tensorflow,,17.0,15.0,5.0,1.0,,
kubernetes,9.0,24.0,14.0,3.0,,,
numpy,,11.0,14.0,7.0,,,
terraform,5.0,19.0,13.0,1.0,,,
postgresql,3.0,5.0,13.0,4.0,,,
hadoop,4.0,20.0,12.0,5.0,,,
scikit-learn,6.0,6.0,12.0,4.0,,,
mysql,5.0,2.0,12.0,2.0,,,
tableau,4.0,54.0,11.0,,,,
jira,5.0,15.0,11.0,1.0,,,
sql server,4.0,13.0,10.0,2.0,,,
gdpr,4.0,13.0,10.0,2.0,,,
c++,,17.0,9.0,,1.0,1.0,
power bi,18.0,36.0,8.0,,,,
elasticsearch,4.0,6.0,8.0,,,,
matlab,10.0,2.0,8.0,,,,
flow,4.0,19.0,7.0,2.0,,,
jenkins,9.0,10.0,7.0,5.0,,,
matplotlib,2.0,9.0,7.0,2.0,1.0,,
nosql,5.0,26.0,6.0,8.0,,,
jupyter,6.0,7.0,6.0,2.0,,,
sap,11.0,24.0,5.0,,,,
github,2.0,18.0,5.0,5.0,1.0,,
qlik,6.0,17.0,5.0,,,,
c#,4.0,16.0,5.0,1.0,,,
mongodb,3.0,14.0,4.0,,2.0,,
ssis,5.0,6.0,4.0,2.0,,,
confluence,5.0,2.0,4.0,2.0,,,
shell,8.0,2.0,4.0,1.0,,,
redis,2.0,1.0,4.0,,,,
r,2.0,57.0,3.0,,,,
excel,38.0,16.0,3.0,,,,
react,4.0,9.0,3.0,1.0,1.0,,
dax,2.0,7.0,3.0,1.0,,,
word,7.0,7.0,3.0,,,,
visio,1.0,2.0,3.0,,,,
npm,,1.0,3.0,,,,
bitbucket,4.0,,3.0,2.0,,,
hugging face,,,3.0,,,,
windows,1.0,14.0,2.0,,,,
javascript,10.0,11.0,2.0,1.0,,,
julia,2.0,7.0,2.0,,,,
c,1.0,5.0,2.0,3.0,,1.0,
flask,,5.0,2.0,2.0,1.0,,
ansible,5.0,5.0,2.0,1.0,,,
slack,1.0,3.0,2.0,2.0,1.0,,
typescript,2.0,3.0,2.0,,,,
fastapi,1.0,2.0,2.0,3.0,,,
alteryx,4.0,1.0,2.0,,,,
bash,10.0,,2.0,1.0,,,1.0
unix,7.0,,2.0,3.0,,,
powershell,2.0,,2.0,,,,
gitlab,10.0,6.0,1.0,,2.0,,
chef,,5.0,1.0,,,,
mongo,,1.0,1.0,1.0,,,
spring,2.0,1.0,1.0,,,,
theano,,,1.0,1.0,,,
golang,4.0,,1.0,1.0,,,
django,,,1.0,1.0,,,
twilio,,,1.0,,,,
solidity,,,1.0,,,,
puppet,2.0,,1.0,,,,
notion,,,1.0,,,,
node,,,1.0,,,,
mxnet,,,1.0,,,,
assembly,5.0,,1.0,,,,
linux,6.0,24.0,,6.0,,,
sas,11.0,14.0,,1.0,,,
keras,2.0,13.0,,6.0,2.0,,
express,,10.0,,,,,
vba,4.0,7.0,,,,,
node.js,4.0,6.0,,,,,
angular,3.0,5.0,,,1.0,,
css,3.0,5.0,,2.0,,,
powerpoint,9.0,4.0,,,,1.0,
html,4.0,4.0,,2.0,,,
graphql,1.0,4.0,,,,,
cassandra,3.0,3.0,,2.0,,,
unify,3.0,3.0,,1.0,,,
swift,1.0,3.0,,1.0,,,
ssrs,2.0,3.0,,1.0,,,
sharepoint,1.0,3.0,,,,,
outlook,3.0,3.0,,,,,
vue,,2.0,,,1.0,,
plotly,1.0,2.0,,4.0,,,
atlassian,2.0,2.0,,4.0,,,
perl,2.0,2.0,,2.0,,,
dynamodb,1.0,2.0,,2.0,,,
nltk,1.0,2.0,,1.0,,,
neo4j,3.0,2.0,,1.0,,,
zoom,1.0,2.0,,,,,
unreal,1.0,2.0,,,,,
spss,1.0,2.0,,,,,
sheets,3.0,2.0,,,,,
pulumi,2.0,2.0,,,,,
crystal,,2.0,,,,,
rust,,1.0,,1.0,,,1.0
opencv,3.0,1.0,,1.0,,1.0,1.0
ruby,5.0,1.0,,2.0,,,
jquery,1.0,1.0,,2.0,,,
seaborn,3.0,1.0,,1.0,,,
phoenix,1.0,1.0,,1.0,,,
kotlin,2.0,1.0,,1.0,,,
couchdb,,1.0,,1.0,,,
yarn,2.0,1.0,,,,,
terminal,,1.0,,,,,
spreadsheet,1.0,1.0,,,,,
selenium,1.0,1.0,,,,,
ruby on rails,,1.0,,,,,
no-sql,1.0,1.0,,,,,
ms access,,1.0,,,,,
ibm cloud,,1.0,,,,,
debian,,,,,1.0,,
t-sql,2.0,,,4.0,,,
splunk,,,,2.0,,,
ggplot2,,,,2.0,,,
smartsheet,,,,1.0,,,
sass,,,,1.0,,,
rshiny,,,,1.0,,,
redhat,,,,1.0,,,
php,3.0,,,1.0,,,
macos,,,,1.0,,,
firebase,,,,1.0,,,
dplyr,,,,1.0,,,
aurora,,,,1.0,,,
asp.net,,,,1.0,,,
asana,1.0,,,1.0,,,
vue.js,2.0,,,,,,
ubuntu,1.0,,,,,,
trello,1.0,,,,,,
symphony,1.0,,,,,,
svn,1.0,,,,,,
pascal,1.0,,,,,,
openstack,1.0,,,,,,
microstrategy,1.0,,,,,,
mariadb,1.0,,,,,,
groovy,1.0,,,,,,
datarobot,1.0,,,,,,
cognos,1.0,,,,,,
centos,1.0,,,,,,
unity,,,,,,,
tidyverse,,,,,,,
flutter,,,,,,,
firestore,,,,,,,
elixir,,,,,,,
blazor,,,,,,,
