Skills,T6_9,T9_12,T12_15,T15_18,T18_21,T21_24,T24_27,Job
sql,9.0,78.0,27.0,71.0,1.0,,,Data Engineer
python,7.0,88.0,21.0,68.0,1.0,1.0,1.0,Data Engineer
aws,3.0,55.0,21.0,39.0,,,1.0,Data Engineer
python,26.0,34.0,21.0,58.0,7.0,,,Data Scientist
spark,6.0,50.0,19.0,57.0,,3.0,2.0,Data Engineer
airflow,1.0,19.0,14.0,24.0,1.0,,1.0,Data Engineer
sql,17.0,27.0,12.0,40.0,6.0,,,Data Scientist
azure,5.0,46.0,11.0,26.0,1.0,,1.0,Data Engineer
git,2.0,25.0,9.0,8.0,,,,Data Engineer
snowflake,,9.0,9.0,15.0,,,1.0,Data Engineer
bigquery,,8.0,9.0,12.0,,,,Data Engineer
scala,1.0,27.0,8.0,24.0,,,,Data Engineer
gcp,3.0,23.0,8.0,17.0,,,,Data Engineer
docker,2.0,23.0,8.0,12.0,,,,Data Engineer
kubernetes,1.0,18.0,7.0,7.0,1.0,,1.0,Data Engineer
pyspark,,8.0,7.0,9.0,1.0,,,Data Engineer
azure,6.0,5.0,7.0,14.0,1.0,,,Data Scientist
aws,4.0,3.0,6.0,17.0,3.0,,,Data Scientist
sql,28.0,98.0,5.0,12.0,,,,Data Analyst
java,3.0,35.0,5.0,31.0,,,,Data Engineer
hadoop,3.0,19.0,5.0,19.0,,,1.0,Data Engineer
tableau,6.0,8.0,5.0,18.0,2.0,,,Data Scientist
spark,6.0,6.0,5.0,20.0,2.0,,,Data Scientist
pandas,6.0,1.0,5.0,12.0,1.0,,,Data Scientist
databricks,,24.0,4.0,10.0,1.0,,,Data Engineer
tableau,4.0,8.0,4.0,12.0,,,,Data Engineer
oracle,,8.0,4.0,7.0,,,,Data Engineer
go,1.0,6.0,4.0,7.0,,,1.0,Data Engineer
scikit-learn,5.0,5.0,4.0,10.0,1.0,,,Data Scientist
gcp,1.0,1.0,4.0,4.0,1.0,,,Data Scientist
python,20.0,70.0,3.0,11.0,,2.0,,Data Analyst
kafka,3.0,25.0,3.0,27.0,,,,Data Engineer
looker,2.0,20.0,3.0,1.0,,,,Data Analyst
tableau,,18.0,3.0,,,,,Senior Data Analyst
terraform,3.0,12.0,3.0,16.0,,,,Data Engineer
mysql,,6.0,3.0,8.0,,,,Data Engineer
jira,,4.0,3.0,4.0,,,,Data Engineer
numpy,3.0,2.0,3.0,8.0,1.0,,,Data Scientist
databricks,3.0,2.0,3.0,3.0,1.0,,,Data Scientist
docker,2.0,2.0,3.0,7.0,,,,Data Scientist
pandas,,2.0,3.0,,,,,Data Engineer
postgresql,,11.0,2.0,8.0,,,,Data Engineer
python,6.0,10.0,2.0,5.0,,3.0,,Software Engineer
redshift,1.0,10.0,2.0,10.0,,,,Data Engineer
go,,8.0,2.0,,,,,Senior Data Analyst
tensorflow,7.0,6.0,2.0,13.0,1.0,,,Data Scientist
looker,,6.0,2.0,4.0,,,,Data Engineer
bigquery,,6.0,2.0,2.0,,,,Data Analyst
pytorch,7.0,5.0,2.0,10.0,1.0,,,Data Scientist
looker,2.0,4.0,2.0,6.0,,,,Data Scientist
go,1.0,4.0,2.0,5.0,,,,Data Scientist
git,5.0,3.0,2.0,8.0,2.0,,,Data Scientist
hadoop,1.0,3.0,2.0,11.0,1.0,,,Data Scientist
java,4.0,2.0,2.0,4.0,2.0,,,Data Scientist
snowflake,3.0,2.0,2.0,6.0,1.0,,,Data Scientist
scala,4.0,2.0,2.0,4.0,,,,Data Scientist
bigquery,2.0,1.0,2.0,2.0,1.0,,,Data Scientist
airflow,2.0,1.0,2.0,7.0,,,,Data Scientist
kubernetes,1.0,1.0,2.0,6.0,,,,Data Scientist
tableau,15.0,55.0,1.0,3.0,,,,Data Analyst
python,14.0,42.0,1.0,41.0,10.0,1.0,3.0,Machine Learning Engineer
sql,,38.0,1.0,1.0,,,,Senior Data Analyst
aws,8.0,20.0,1.0,18.0,2.0,1.0,2.0,Machine Learning Engineer
python,,18.0,1.0,1.0,,1.0,,Senior Data Analyst
tensorflow,7.0,16.0,1.0,16.0,6.0,,,Machine Learning Engineer
azure,6.0,12.0,1.0,7.0,1.0,,1.0,Machine Learning Engineer
scikit-learn,2.0,11.0,1.0,3.0,3.0,,,Machine Learning Engineer
python,4.0,10.0,1.0,38.0,3.0,,1.0,Senior Data Scientist
kubernetes,6.0,10.0,1.0,10.0,3.0,,,Machine Learning Engineer
sql,3.0,6.0,1.0,35.0,2.0,,,Senior Data Scientist
go,2.0,6.0,1.0,2.0,,,,Data Analyst
snowflake,,6.0,1.0,,,,,Senior Data Analyst
bigquery,,6.0,1.0,,,,,Senior Data Analyst
java,5.0,5.0,1.0,1.0,,1.0,,Software Engineer
azure,,5.0,1.0,,,1.0,,Cloud Engineer
sql,3.0,4.0,1.0,4.0,,3.0,,Software Engineer
