country,job,param,aval,parameter
Belgium,Business Analyst,min,75.1,MIN
Belgium,Data Analyst,min,56.6,MIN
Belgium,Data Engineer,min,58.4,MIN
Belgium,Data Scientist,min,58.4,MIN
Belgium,Machine Learning Engineer,min,75.1,MIN
Belgium,Senior Data Engineer,min,91.8,MIN
Belgium,Senior Data Scientist,min,58.4,MIN
Belgium,Software Engineer,min,45.8,MIN
Denmark,Data Analyst,min,58.4,MIN
Denmark,Data Engineer,min,99.7,MIN
Denmark,Data Scientist,min,58.4,MIN
Denmark,Machine Learning Engineer,min,108.5,MIN
Denmark,Senior Data Engineer,min,151.9,MIN
Finland,Data Analyst,min,74.2,MIN
Finland,Data Engineer,min,91.8,MIN
Finland,Data Scientist,min,83.3,MIN
Finland,Machine Learning Engineer,min,91.8,MIN
Finland,Senior Data Analyst,min,103.5,MIN
Finland,Senior Data Engineer,min,99.7,MIN
Finland,Senior Data Scientist,min,90.8,MIN
Finland,Software Engineer,min,77.2,MIN
France,Business Analyst,min,44.5,MIN
France,Cloud Engineer,min,109.1,MIN
France,Data Analyst,min,46.4,MIN
France,Data Engineer,min,46.4,MIN
France,Data Scientist,min,51.9,MIN
France,Machine Learning Engineer,min,58.4,MIN
France,Senior Data Analyst,min,51.1,MIN
France,Senior Data Engineer,min,81.6,MIN
France,Senior Data Scientist,min,91.8,MIN
France,Software Engineer,min,45.8,MIN
Germany,Business Analyst,min,30.8,MIN
Germany,Cloud Engineer,min,83.3,MIN
Germany,Data Analyst,min,52.5,MIN
Germany,Data Engineer,min,58.4,MIN
Germany,Data Scientist,min,58.4,MIN
Germany,Machine Learning Engineer,min,45.8,MIN
Germany,Senior Data Analyst,min,59.3,MIN
Germany,Senior Data Engineer,min,75.1,MIN
Germany,Senior Data Scientist,min,83.3,MIN
Germany,Software Engineer,min,58.4,MIN
Greece,Business Analyst,min,64.9,MIN
Greece,Data Analyst,min,54.6,MIN
Greece,Data Engineer,min,46.4,MIN
Greece,Data Scientist,min,52.6,MIN
Greece,Machine Learning Engineer,min,75.1,MIN
Greece,Senior Data Engineer,min,46.4,MIN
Greece,Senior Data Scientist,min,75.1,MIN
Greece,Software Engineer,min,58.4,MIN
Hungary,Cloud Engineer,min,91.8,MIN
Hungary,Data Analyst,min,51.1,MIN
Hungary,Data Engineer,min,99.7,MIN
Hungary,Data Scientist,min,58.4,MIN
Hungary,Machine Learning Engineer,min,58.4,MIN
Hungary,Senior Data Analyst,min,89,MIN
Hungary,Senior Data Engineer,min,151.9,MIN
Hungary,Senior Data Scientist,min,91.8,MIN
Hungary,Software Engineer,min,58.4,MIN
Ireland,Data Analyst,min,44.5,MIN
Ireland,Data Engineer,min,91.8,MIN
Ireland,Data Scientist,min,55,MIN
Ireland,Machine Learning Engineer,min,75.1,MIN
Ireland,Senior Data Analyst,min,75.1,MIN
Ireland,Senior Data Engineer,min,91.8,MIN
Ireland,Senior Data Scientist,min,146.8,MIN
Ireland,Software Engineer,min,91.8,MIN
Italy,Business Analyst,min,44.5,MIN
Italy,Data Analyst,min,46.4,MIN
Italy,Data Engineer,min,91.8,MIN
Italy,Data Scientist,min,58.4,MIN
Italy,Machine Learning Engineer,min,75.1,MIN
Italy,Senior Data Analyst,min,91.8,MIN
Italy,Senior Data Scientist,min,74.2,MIN
Italy,Software Engineer,min,85,MIN
Netherlands,Business Analyst,min,64.9,MIN
Netherlands,Data Analyst,min,54.6,MIN
Netherlands,Data Engineer,min,91.8,MIN
Netherlands,Data Scientist,min,91.8,MIN
Netherlands,Machine Learning Engineer,min,71.1,MIN
Netherlands,Senior Data Analyst,min,114.5,MIN
Netherlands,Senior Data Engineer,min,91.8,MIN
Netherlands,Senior Data Scientist,min,75.1,MIN
Netherlands,Software Engineer,min,58.4,MIN
Poland,Business Analyst,min,58.4,MIN
Poland,Cloud Engineer,min,58.4,MIN
Poland,Data Analyst,min,44.5,MIN
Poland,Data Engineer,min,46.4,MIN
Poland,Data Scientist,min,44.5,MIN
Poland,Machine Learning Engineer,min,58.4,MIN
Poland,Senior Data Analyst,min,89,MIN
Poland,Senior Data Engineer,min,46.4,MIN
Poland,Senior Data Scientist,min,90.8,MIN
Poland,Software Engineer,min,67.7,MIN
Portugal,Business Analyst,min,58.4,MIN
Portugal,Data Analyst,min,52.5,MIN
Portugal,Data Engineer,min,83.3,MIN
Portugal,Data Scientist,min,72.1,MIN
Portugal,Machine Learning Engineer,min,75.1,MIN
Portugal,Senior Data Analyst,min,114.5,MIN
Portugal,Senior Data Engineer,min,58.4,MIN
Portugal,Senior Data Scientist,min,58.4,MIN
Portugal,Software Engineer,min,91.8,MIN
Romania,Business Analyst,min,83.3,MIN
Romania,Cloud Engineer,min,58.4,MIN
Romania,Data Analyst,min,44.5,MIN
Romania,Data Engineer,min,46.4,MIN
Romania,Data Scientist,min,58.4,MIN
Romania,Machine Learning Engineer,min,91.8,MIN
Romania,Senior Data Analyst,min,89,MIN
Romania,Senior Data Engineer,min,91.8,MIN
Romania,Software Engineer,min,44.5,MIN
Spain,Business Analyst,min,64.9,MIN
Spain,Cloud Engineer,min,58.4,MIN
Spain,Data Analyst,min,52.5,MIN
Spain,Data Engineer,min,58.2,MIN
Spain,Data Scientist,min,58.4,MIN
Spain,Machine Learning Engineer,min,44.5,MIN
Spain,Senior Data Analyst,min,91.8,MIN
Spain,Senior Data Engineer,min,75.1,MIN
Spain,Senior Data Scientist,min,46.4,MIN
Spain,Software Engineer,min,58.4,MIN
Sweden,Business Analyst,min,44.5,MIN
Sweden,Data Analyst,min,46.4,MIN
Sweden,Data Engineer,min,61.8,MIN
Sweden,Data Scientist,min,83.4,MIN
Sweden,Machine Learning Engineer,min,83.3,MIN
Sweden,Senior Data Analyst,min,51.1,MIN
Sweden,Senior Data Engineer,min,151.9,MIN
Sweden,Senior Data Scientist,min,151.9,MIN
Sweden,Software Engineer,min,161.2,MIN
