

|    |Country     |IT Job                    |Statistic |  Value|Currency |
|:---|:-----------|:-------------------------|:---------|------:|:--------|
|51  |Belgium     |Business Analyst          |MAX       |  91773|USD      |
|52  |Belgium     |Business Analyst          |MEAN      |  85098|USD      |
|53  |Belgium     |Business Analyst          |MEDIAN    |  91773|USD      |
|54  |Belgium     |Business Analyst          |MIN       |  75087|USD      |
|55  |Belgium     |Business Analyst          |STD       |   9139|USD      |
|56  |Belgium     |Data Analyst              |MAX       | 169950|USD      |
|57  |Belgium     |Data Analyst              |MEAN      |  99287|USD      |
|58  |Belgium     |Data Analyst              |MEDIAN    |  80297|USD      |
|59  |Belgium     |Data Analyst              |MIN       |  56637|USD      |
|60  |Belgium     |Data Analyst              |STD       |  46066|USD      |
|61  |Belgium     |Data Engineer             |MAX       | 151925|USD      |
|62  |Belgium     |Data Engineer             |MEAN      | 110675|USD      |
|63  |Belgium     |Data Engineer             |MEDIAN    | 101250|USD      |
|64  |Belgium     |Data Engineer             |MIN       |  58401|USD      |
|65  |Belgium     |Data Engineer             |STD       |  30231|USD      |
|66  |Belgium     |Data Scientist            |MAX       | 162225|USD      |
|67  |Belgium     |Data Scientist            |MEAN      | 122577|USD      |
|68  |Belgium     |Data Scientist            |MEDIAN    | 126999|USD      |
|69  |Belgium     |Data Scientist            |MIN       |  58401|USD      |
|70  |Belgium     |Data Scientist            |STD       |  43717|USD      |
|71  |Belgium     |Machine Learning Engineer |MAX       | 104059|USD      |
|72  |Belgium     |Machine Learning Engineer |MEAN      |  86377|USD      |
|73  |Belgium     |Machine Learning Engineer |MEDIAN    |  91773|USD      |
|74  |Belgium     |Machine Learning Engineer |MIN       |  75087|USD      |
|75  |Belgium     |Machine Learning Engineer |STD       |  11419|USD      |
|76  |Belgium     |Senior Data Engineer      |MAX       |  91773|USD      |
|77  |Belgium     |Senior Data Engineer      |MEAN      |  91773|USD      |
|78  |Belgium     |Senior Data Engineer      |MEDIAN    |  91773|USD      |
|79  |Belgium     |Senior Data Engineer      |MIN       |  91773|USD      |
|80  |Belgium     |Senior Data Scientist     |MAX       |  91773|USD      |
|81  |Belgium     |Senior Data Scientist     |MEAN      |  80649|USD      |
|82  |Belgium     |Senior Data Scientist     |MEDIAN    |  91773|USD      |
|83  |Belgium     |Senior Data Scientist     |MIN       |  58401|USD      |
|84  |Belgium     |Senior Data Scientist     |STD       |  19267|USD      |
|85  |Belgium     |Software Engineer         |MAX       |  75087|USD      |
|86  |Belgium     |Software Engineer         |MEAN      |  60419|USD      |
|87  |Belgium     |Software Engineer         |MEDIAN    |  60419|USD      |
|88  |Belgium     |Software Engineer         |MIN       |  45751|USD      |
|89  |Belgium     |Software Engineer         |STD       |  20743|USD      |
|90  |Denmark     |Data Analyst              |MAX       |  91773|USD      |
|91  |Denmark     |Data Analyst              |MEAN      |  81761|USD      |
|92  |Denmark     |Data Analyst              |MEDIAN    |  91773|USD      |
|93  |Denmark     |Data Analyst              |MIN       |  58401|USD      |
|94  |Denmark     |Data Analyst              |STD       |  14924|USD      |
|95  |Denmark     |Data Engineer             |MAX       | 151925|USD      |
|96  |Denmark     |Data Engineer             |MEAN      | 125800|USD      |
|97  |Denmark     |Data Engineer             |MEDIAN    | 125800|USD      |
|98  |Denmark     |Data Engineer             |MIN       |  99676|USD      |
|99  |Denmark     |Data Engineer             |STD       |  36945|USD      |
|100 |Denmark     |Data Scientist            |MAX       | 171412|USD      |
|101 |Denmark     |Data Scientist            |MEAN      | 116342|USD      |
|102 |Denmark     |Data Scientist            |MEDIAN    | 112785|USD      |
|103 |Denmark     |Data Scientist            |MIN       |  58401|USD      |
|104 |Denmark     |Data Scientist            |STD       |  38069|USD      |
|105 |Denmark     |Machine Learning Engineer |MAX       | 170980|USD      |
|106 |Denmark     |Machine Learning Engineer |MEAN      | 139719|USD      |
|107 |Denmark     |Machine Learning Engineer |MEDIAN    | 139719|USD      |
|108 |Denmark     |Machine Learning Engineer |MIN       | 108459|USD      |
|109 |Denmark     |Machine Learning Engineer |STD       |  44209|USD      |
|110 |Denmark     |Senior Data Engineer      |MAX       | 151925|USD      |
|111 |Denmark     |Senior Data Engineer      |MEAN      | 151925|USD      |
|112 |Denmark     |Senior Data Engineer      |MEDIAN    | 151925|USD      |
|113 |Denmark     |Senior Data Engineer      |MIN       | 151925|USD      |
|114 |Denmark     |Senior Data Engineer      |STD       |      0|USD      |
|115 |Finland     |Data Analyst              |MAX       | 169950|USD      |
|116 |Finland     |Data Analyst              |MEAN      | 111353|USD      |
|117 |Finland     |Data Analyst              |MEDIAN    | 108819|USD      |
|118 |Finland     |Data Analyst              |MIN       |  74160|USD      |
|119 |Finland     |Data Analyst              |STD       |  40128|USD      |
|120 |Finland     |Data Engineer             |MAX       | 101250|USD      |
|121 |Finland     |Data Engineer             |MEAN      |  96829|USD      |
|122 |Finland     |Data Engineer             |MEDIAN    |  99676|USD      |
|123 |Finland     |Data Engineer             |MIN       |  91773|USD      |
|124 |Finland     |Data Engineer             |STD       |   4660|USD      |
|125 |Finland     |Data Scientist            |MAX       | 162225|USD      |
|126 |Finland     |Data Scientist            |MEAN      | 120745|USD      |
|127 |Finland     |Data Scientist            |MEDIAN    | 118740|USD      |
|128 |Finland     |Data Scientist            |MIN       |  83275|USD      |
|129 |Finland     |Data Scientist            |STD       |  32677|USD      |
|130 |Finland     |Machine Learning Engineer |MAX       | 191065|USD      |
