

|Skills        |Country     |   n| mean|Job                       |
|:-------------|:-----------|---:|----:|:-------------------------|
|bash          |Sweden      |   1|  256|Data Engineer             |
|rust          |Germany     |   1|  231|Machine Learning Engineer |
|opencv        |Germany     |   1|  231|Senior Data Scientist     |
|opencv        |Spain       |   1|  211|Software Engineer         |
|c++           |Spain       |   1|  211|Software Engineer         |
|powerpoint    |Greece      |   1|  206|Senior Data Scientist     |
|c             |France      |   1|  206|Data Analyst              |
|debian        |France      |   1|  202|Software Engineer         |
|c++           |Netherlands |   2|  201|Machine Learning Engineer |
|matplotlib    |Romania     |   1|  200|Software Engineer         |
|flask         |Portugal    |   1|  195|Machine Learning Engineer |
|vue           |Netherlands |   1|  191|Software Engineer         |
|tensorflow    |Finland     |   1|  191|Machine Learning Engineer |
|react         |Netherlands |   1|  191|Software Engineer         |
|bigquery      |Finland     |   1|  191|Machine Learning Engineer |
|angular       |Netherlands |   1|  191|Software Engineer         |
|keras         |Germany     |   3|  185|Data Scientist            |
|keras         |Germany     |   3|  185|Senior Data Scientist     |
|slack         |Portugal    |   1|  183|Machine Learning Engineer |
|github        |Netherlands |   1|  180|Data Engineer             |
|gitlab        |Greece      |   2|  179|Machine Learning Engineer |
|gitlab        |Greece      |   2|  179|Data Scientist            |
|mongodb       |Germany     |   6|  178|Data Engineer             |
|mongodb       |Germany     |   6|  178|Machine Learning Engineer |
|github        |Greece      |   1|  176|Data Scientist            |
|bitbucket     |Greece      |   1|  176|Data Scientist            |
|plotly        |Spain       |   1|  176|Senior Data Scientist     |
|git           |Ireland     |   3|  174|Senior Data Scientist     |
|git           |Ireland     |   3|  174|Senior Data Engineer      |
|git           |Ireland     |   3|  174|Data Analyst              |
|fastapi       |Germany     |   2|  172|Data Scientist            |
|flow          |Denmark     |   1|  171|Data Scientist            |
|unix          |Spain       |   1|  171|Machine Learning Engineer |
|tensorflow    |Denmark     |   1|  171|Machine Learning Engineer |
|rust          |Ireland     |   1|  171|Senior Data Scientist     |
|opencv        |Hungary     |   1|  171|Machine Learning Engineer |
|neo4j         |Ireland     |   1|  171|Machine Learning Engineer |
|matplotlib    |Ireland     |   1|  171|Machine Learning Engineer |
|jira          |Portugal    |   1|  171|Machine Learning Engineer |
|java          |Denmark     |   1|  171|Machine Learning Engineer |
|golang        |Netherlands |   1|  171|Machine Learning Engineer |
|fastapi       |Spain       |   1|  171|Machine Learning Engineer |
|fastapi       |Netherlands |   1|  171|Machine Learning Engineer |
|mongo         |Poland      |   1|  170|Data Analyst              |
|bigquery      |Belgium     |   1|  170|Data Analyst              |
|numpy         |Netherlands |   2|  169|Data Scientist            |
|matplotlib    |Netherlands |   2|  169|Data Scientist            |
|unify         |Ireland     |   1|  169|Data Analyst              |
|keras         |Spain       |   5|  167|Machine Learning Engineer |
|keras         |Spain       |   5|  167|Software Engineer         |
|keras         |Spain       |   5|  167|Senior Data Engineer      |
|scikit-learn  |Netherlands |   3|  167|Data Scientist            |
|pandas        |Netherlands |   4|  166|Data Scientist            |
|c             |Portugal    |   1|  165|Software Engineer         |
|hadoop        |Germany     |   8|  164|Senior Data Engineer      |
|hadoop        |Germany     |   8|  164|Data Scientist            |
|hadoop        |Germany     |   8|  164|Senior Data Scientist     |
|numpy         |Portugal    |   5|  164|Data Scientist            |
|numpy         |Portugal    |   5|  164|Machine Learning Engineer |
|firebase      |Germany     |   2|  163|Software Engineer         |
|theano        |Portugal    |   1|  162|Data Scientist            |
|tensorflow    |Italy       |   1|  162|Data Scientist            |
|seaborn       |Netherlands |   1|  162|Data Scientist            |
|sas           |Hungary     |   2|  162|Data Scientist            |
|rshiny        |France      |   2|  162|Data Scientist            |
|redshift      |Sweden      |   1|  162|Data Scientist            |
|pytorch       |Belgium     |   2|  162|Data Scientist            |
|plotly        |Poland      |   2|  162|Data Scientist            |
|plotly        |Poland      |   2|  162|Senior Data Scientist     |
|plotly        |Netherlands |   1|  162|Data Scientist            |
|numpy         |Belgium     |   1|  162|Data Scientist            |
|nltk          |Germany     |   1|  162|Senior Data Scientist     |
|macos         |Poland      |   1|  162|Data Scientist            |
|looker        |Ireland     |   1|  162|Senior Data Scientist     |
|linux         |Portugal    |   1|  162|Data Scientist            |
|kotlin        |Germany     |   1|  162|Data Scientist            |
|keras         |Belgium     |   1|  162|Data Scientist            |
|jupyter       |Netherlands |   1|  162|Senior Data Scientist     |
|jupyter       |Belgium     |   1|  162|Data Scientist            |
|jenkins       |Finland     |   1|  162|Senior Data Scientist     |
|javascript    |Belgium     |   1|  162|Data Scientist            |
|html          |Belgium     |   1|  162|Data Scientist            |
|ggplot2       |Poland      |   2|  162|Data Scientist            |
|ggplot2       |Poland      |   2|  162|Senior Data Scientist     |
|dplyr         |Italy       |   1|  162|Data Scientist            |
|django        |Hungary     |   1|  162|Data Scientist            |
|css           |Belgium     |   1|  162|Data Scientist            |
|cassandra     |Portugal    |   1|  162|Data Scientist            |
|c             |Hungary     |   1|  162|Data Scientist            |
|c             |Belgium     |   1|  162|Data Scientist            |
|nosql         |Germany     |   3|  162|Data Engineer             |
|nosql         |Germany     |   3|  162|Senior Data Scientist     |
|nosql         |Germany     |   3|  162|Data Analyst              |
|atlassian     |Ireland     |   3|  162|Data Engineer             |
|atlassian     |Ireland     |   3|  162|Senior Data Scientist     |
|atlassian     |Ireland     |   3|  162|Machine Learning Engineer |
|jenkins       |Denmark     |   2|  161|Data Engineer             |
|jenkins       |Denmark     |   2|  161|Machine Learning Engineer |
|docker        |Denmark     |   2|  161|Senior Data Engineer      |
|docker        |Denmark     |   2|  161|Machine Learning Engineer |
|airflow       |Denmark     |   2|  161|Senior Data Engineer      |
|airflow       |Denmark     |   2|  161|Machine Learning Engineer |
|ruby          |Spain       |   2|  161|Software Engineer         |
|redshift      |Poland      |   4|  161|Business Analyst          |
|redshift      |Poland      |   4|  161|Data Scientist            |
|redshift      |Poland      |   4|  161|Senior Data Scientist     |
|bitbucket     |Spain       |   1|  161|Data Engineer             |
|atlassian     |Spain       |   1|  161|Software Engineer         |
|gdpr          |Portugal    |   2|  161|Data Analyst              |
|gdpr          |Portugal    |   2|  161|Data Engineer             |
|unix          |Ireland     |   1|  161|Senior Data Engineer      |
|perl          |Ireland     |   1|  161|Senior Data Engineer      |
|keras         |Portugal    |   3|  160|Data Scientist            |
|keras         |Portugal    |   3|  160|Machine Learning Engineer |
|snowflake     |Hungary     |   1|  160|Data Analyst              |
|smartsheet    |Spain       |   1|  160|Data Analyst              |
|scikit-learn  |Germany     |   5|  158|Senior Data Scientist     |
|scikit-learn  |Germany     |   5|  158|Senior Data Engineer      |
|scikit-learn  |Germany     |   5|  158|Data Scientist            |
|linux         |Ireland     |   4|  158|Senior Data Scientist     |
|linux         |Ireland     |   4|  158|Data Engineer             |
|linux         |Ireland     |   4|  158|Senior Data Engineer      |
|linux         |Ireland     |   4|  158|Data Analyst              |
|pytorch       |Denmark     |   2|  158|Data Scientist            |
|pytorch       |Denmark     |   2|  158|Machine Learning Engineer |
|github        |Denmark     |   2|  158|Data Scientist            |
|github        |Denmark     |   2|  158|Machine Learning Engineer |
|hadoop        |Netherlands |   3|  158|Data Analyst              |
|hadoop        |Netherlands |   3|  158|Data Scientist            |
|sql server    |Spain       |   2|  157|Software Engineer         |
|sql server    |Spain       |   2|  157|Data Engineer             |
|flow          |Belgium     |   4|  156|Data Analyst              |
|jenkins       |Portugal    |   2|  154|Data Scientist            |
|jenkins       |Portugal    |   2|  154|Machine Learning Engineer |
|tensorflow    |Germany     |   9|  153|Data Scientist            |
|tensorflow    |Germany     |   9|  153|Machine Learning Engineer |
|tensorflow    |Germany     |   9|  153|Senior Data Scientist     |
|numpy         |France      |   6|  153|Data Engineer             |
|numpy         |France      |   6|  153|Data Scientist            |
|numpy         |France      |   6|  153|Senior Data Scientist     |
|pyspark       |Greece      |   4|  152|Senior Data Scientist     |
|pyspark       |Greece      |   4|  152|Machine Learning Engineer |
|spark         |Sweden      |   8|  152|Senior Data Engineer      |
|spark         |Sweden      |   8|  152|Data Engineer             |
|spark         |Sweden      |   8|  152|Senior Data Scientist     |
|unix          |Hungary     |   2|  152|Data Engineer             |
|terraform     |Denmark     |   1|  152|Senior Data Engineer      |
|t-sql         |Spain       |   1|  152|Data Engineer             |
|t-sql         |Ireland     |   1|  152|Data Engineer             |
|t-sql         |Hungary     |   1|  152|Data Engineer             |
|t-sql         |Belgium     |   1|  152|Data Engineer             |
|swift         |Sweden      |   1|  152|Senior Data Engineer      |
|ssrs          |Spain       |   1|  152|Data Engineer             |
|ssis          |Spain       |   1|  152|Data Engineer             |
|ssis          |Ireland     |   1|  152|Data Engineer             |
|splunk        |Poland      |   2|  152|Data Engineer             |
|splunk        |Belgium     |   1|  152|Data Engineer             |
|spark         |Denmark     |   1|  152|Data Engineer             |
|slack         |Ireland     |   2|  152|Data Engineer             |
|slack         |Ireland     |   2|  152|Data Analyst              |
|shell         |Hungary     |   2|  152|Data Engineer             |
|sass          |Ireland     |   1|  152|Senior Data Engineer      |
|ruby          |Ireland     |   2|  152|Senior Data Engineer      |
|redshift      |Italy       |   1|  152|Data Engineer             |
|redhat        |Belgium     |   1|  152|Data Engineer             |
|react         |Ireland     |   1|  152|Data Engineer             |
|php           |Belgium     |   1|  152|Data Engineer             |
|phoenix       |Poland      |   2|  152|Data Engineer             |
|perl          |Netherlands |   1|  152|Data Engineer             |
|oracle        |Denmark     |   1|  152|Data Engineer             |
|mysql         |Netherlands |   1|  152|Data Engineer             |
|mysql         |Germany     |   1|  152|Data Engineer             |
|linux         |Hungary     |   2|  152|Data Engineer             |
|kubernetes    |Sweden      |   2|  152|Data Engineer             |
|kubernetes    |Sweden      |   2|  152|Senior Data Engineer      |
|kubernetes    |Denmark     |   1|  152|Senior Data Engineer      |
