

|Skills        |Group     | T_Group| T6_9| T9_12| T12_15| T15_18| T18_21| T21_24| T24_27|
|:-------------|:---------|-------:|----:|-----:|------:|------:|------:|------:|------:|
|rust          |240 - 270 |       1|   NA|     1|     NA|      1|     NA|     NA|      1|
|opencv        |240 - 270 |       1|    3|     1|     NA|      1|     NA|      1|      1|
|bash          |240 - 270 |       1|   10|    NA|      2|      1|     NA|     NA|      1|
|powerpoint    |210 - 240 |       1|    9|     4|     NA|     NA|     NA|      1|     NA|
|opencv        |210 - 240 |       1|    3|     1|     NA|      1|     NA|      1|      1|
|c++           |210 - 240 |       1|   NA|    17|      9|     NA|      1|      1|     NA|
|c             |210 - 240 |       1|    1|     5|      2|      3|     NA|      1|     NA|
|mongodb       |180 - 210 |       2|    3|    14|      4|     NA|      2|     NA|     NA|
|keras         |180 - 210 |       2|    2|    13|     NA|      6|      2|     NA|     NA|
|gitlab        |180 - 210 |       2|   10|     6|      1|     NA|      2|     NA|     NA|
|vue           |180 - 210 |       1|   NA|     2|     NA|     NA|      1|     NA|     NA|
|tensorflow    |180 - 210 |       1|   NA|    17|     15|      5|      1|     NA|     NA|
|slack         |180 - 210 |       1|    1|     3|      2|      2|      1|     NA|     NA|
|react         |180 - 210 |       1|    4|     9|      3|      1|      1|     NA|     NA|
|matplotlib    |180 - 210 |       1|    2|     9|      7|      2|      1|     NA|     NA|
|github        |180 - 210 |       1|    2|    18|      5|      5|      1|     NA|     NA|
|flask         |180 - 210 |       1|   NA|     5|      2|      2|      1|     NA|     NA|
|debian        |180 - 210 |       1|   NA|    NA|     NA|     NA|      1|     NA|     NA|
|c++           |180 - 210 |       1|   NA|    17|      9|     NA|      1|      1|     NA|
|bigquery      |180 - 210 |       1|    2|    15|     19|      1|      1|     NA|     NA|
|angular       |180 - 210 |       1|    3|     5|     NA|     NA|      1|     NA|     NA|
|nosql         |150 - 180 |       8|    5|    26|      6|      8|     NA|     NA|     NA|
|numpy         |150 - 180 |       7|   NA|    11|     14|      7|     NA|     NA|     NA|
|kafka         |150 - 180 |       7|   12|    12|     18|      7|     NA|     NA|     NA|
|aws           |150 - 180 |       7|   NA|    41|     43|      7|     NA|     NA|     NA|
|linux         |150 - 180 |       6|    6|    24|     NA|      6|     NA|     NA|     NA|
|keras         |150 - 180 |       6|    2|    13|     NA|      6|      2|     NA|     NA|
|gcp           |150 - 180 |       6|   NA|    25|     23|      6|     NA|     NA|     NA|
|tensorflow    |150 - 180 |       5|   NA|    17|     15|      5|      1|     NA|     NA|
|redshift      |150 - 180 |       5|    1|    10|     20|      5|     NA|     NA|     NA|
|jenkins       |150 - 180 |       5|    9|    10|      7|      5|     NA|     NA|     NA|
|hadoop        |150 - 180 |       5|    4|    20|     12|      5|     NA|     NA|     NA|
|github        |150 - 180 |       5|    2|    18|      5|      5|      1|     NA|     NA|
|t-sql         |150 - 180 |       4|    2|    NA|     NA|      4|     NA|     NA|     NA|
|spark         |150 - 180 |       4|   NA|    38|     38|      4|     NA|     NA|     NA|
|scikit-learn  |150 - 180 |       4|    6|     6|     12|      4|     NA|     NA|     NA|
|postgresql    |150 - 180 |       4|    3|     5|     13|      4|     NA|     NA|     NA|
|plotly        |150 - 180 |       4|    1|     2|     NA|      4|     NA|     NA|     NA|
|atlassian     |150 - 180 |       4|    2|     2|     NA|      4|     NA|     NA|     NA|
|unix          |150 - 180 |       3|    7|    NA|      2|      3|     NA|     NA|     NA|
|pytorch       |150 - 180 |       3|   NA|    21|     16|      3|     NA|     NA|     NA|
|kubernetes    |150 - 180 |       3|    9|    24|     14|      3|     NA|     NA|     NA|
|git           |150 - 180 |       3|    5|    29|     16|      3|     NA|     NA|     NA|
|fastapi       |150 - 180 |       3|    1|     2|      2|      3|     NA|     NA|     NA|
|c             |150 - 180 |       3|    1|     5|      2|      3|     NA|      1|     NA|
|ssis          |150 - 180 |       2|    5|     6|      4|      2|     NA|     NA|     NA|
|sql server    |150 - 180 |       2|    4|    13|     10|      2|     NA|     NA|     NA|
|splunk        |150 - 180 |       2|   NA|    NA|     NA|      2|     NA|     NA|     NA|
|slack         |150 - 180 |       2|    1|     3|      2|      2|      1|     NA|     NA|
|ruby          |150 - 180 |       2|    5|     1|     NA|      2|     NA|     NA|     NA|
|pyspark       |150 - 180 |       2|   NA|    10|     18|      2|     NA|     NA|     NA|
|perl          |150 - 180 |       2|    2|     2|     NA|      2|     NA|     NA|     NA|
|mysql         |150 - 180 |       2|    5|     2|     12|      2|     NA|     NA|     NA|
|matplotlib    |150 - 180 |       2|    2|     9|      7|      2|      1|     NA|     NA|
|jupyter       |150 - 180 |       2|    6|     7|      6|      2|     NA|     NA|     NA|
|jquery        |150 - 180 |       2|    1|     1|     NA|      2|     NA|     NA|     NA|
|html          |150 - 180 |       2|    4|     4|     NA|      2|     NA|     NA|     NA|
