

|Skills        | T6_9| T9_12| T12_15| T15_18| T18_21| T21_24| T24_27|
|:-------------|----:|-----:|------:|------:|------:|------:|------:|
|aws           |   NA|    41|     43|      7|     NA|     NA|     NA|
|spark         |   NA|    38|     38|      4|     NA|     NA|     NA|
|airflow       |   NA|    17|     36|      2|     NA|     NA|     NA|
|snowflake     |    1|    15|     34|      1|     NA|     NA|     NA|
|python        |   NA|    82|     33|     NA|     NA|     NA|     NA|
|looker        |    1|    18|     29|      1|     NA|     NA|     NA|
|databricks    |    7|    19|     28|     NA|     NA|     NA|     NA|
|sql           |   NA|    83|     26|     NA|     NA|     NA|     NA|
|go            |    8|    31|     26|     NA|     NA|     NA|     NA|
|pandas        |    1|    15|     25|      1|     NA|     NA|     NA|
|azure         |   NA|    64|     24|     NA|     NA|     NA|     NA|
|gcp           |   NA|    25|     23|      6|     NA|     NA|     NA|
|redshift      |    1|    10|     20|      5|     NA|     NA|     NA|
|java          |   NA|    43|     19|      1|     NA|     NA|     NA|
|bigquery      |    2|    15|     19|      1|      1|     NA|     NA|
|kafka         |   12|    12|     18|      7|     NA|     NA|     NA|
|pyspark       |   NA|    10|     18|      2|     NA|     NA|     NA|
|oracle        |   14|    14|     17|      1|     NA|     NA|     NA|
|docker        |    1|    39|     16|      2|     NA|     NA|     NA|
|scala         |   NA|    33|     16|     NA|     NA|     NA|     NA|
|git           |    5|    29|     16|      3|     NA|     NA|     NA|
|pytorch       |   NA|    21|     16|      3|     NA|     NA|     NA|
|tensorflow    |   NA|    17|     15|      5|      1|     NA|     NA|
|kubernetes    |    9|    24|     14|      3|     NA|     NA|     NA|
|numpy         |   NA|    11|     14|      7|     NA|     NA|     NA|
|terraform     |    5|    19|     13|      1|     NA|     NA|     NA|
|postgresql    |    3|     5|     13|      4|     NA|     NA|     NA|
|hadoop        |    4|    20|     12|      5|     NA|     NA|     NA|
|scikit-learn  |    6|     6|     12|      4|     NA|     NA|     NA|
|mysql         |    5|     2|     12|      2|     NA|     NA|     NA|
|tableau       |    4|    54|     11|     NA|     NA|     NA|     NA|
|jira          |    5|    15|     11|      1|     NA|     NA|     NA|
|sql server    |    4|    13|     10|      2|     NA|     NA|     NA|
|gdpr          |    4|    13|     10|      2|     NA|     NA|     NA|
|c++           |   NA|    17|      9|     NA|      1|      1|     NA|
|power bi      |   18|    36|      8|     NA|     NA|     NA|     NA|
|elasticsearch |    4|     6|      8|     NA|     NA|     NA|     NA|
|matlab        |   10|     2|      8|     NA|     NA|     NA|     NA|
|flow          |    4|    19|      7|      2|     NA|     NA|     NA|
|jenkins       |    9|    10|      7|      5|     NA|     NA|     NA|
|matplotlib    |    2|     9|      7|      2|      1|     NA|     NA|
|nosql         |    5|    26|      6|      8|     NA|     NA|     NA|
|jupyter       |    6|     7|      6|      2|     NA|     NA|     NA|
|sap           |   11|    24|      5|     NA|     NA|     NA|     NA|
|github        |    2|    18|      5|      5|      1|     NA|     NA|
|qlik          |    6|    17|      5|     NA|     NA|     NA|     NA|
|c#            |    4|    16|      5|      1|     NA|     NA|     NA|
|mongodb       |    3|    14|      4|     NA|      2|     NA|     NA|
|ssis          |    5|     6|      4|      2|     NA|     NA|     NA|
|confluence    |    5|     2|      4|      2|     NA|     NA|     NA|
|shell         |    8|     2|      4|      1|     NA|     NA|     NA|
|redis         |    2|     1|      4|     NA|     NA|     NA|     NA|
|r             |    2|    57|      3|     NA|     NA|     NA|     NA|
|excel         |   38|    16|      3|     NA|     NA|     NA|     NA|
|react         |    4|     9|      3|      1|      1|     NA|     NA|
|dax           |    2|     7|      3|      1|     NA|     NA|     NA|
|word          |    7|     7|      3|     NA|     NA|     NA|     NA|
|visio         |    1|     2|      3|     NA|     NA|     NA|     NA|
|npm           |   NA|     1|      3|     NA|     NA|     NA|     NA|
|bitbucket     |    4|    NA|      3|      2|     NA|     NA|     NA|
|hugging face  |   NA|    NA|      3|     NA|     NA|     NA|     NA|
|windows       |    1|    14|      2|     NA|     NA|     NA|     NA|
|javascript    |   10|    11|      2|      1|     NA|     NA|     NA|
|julia         |    2|     7|      2|     NA|     NA|     NA|     NA|
|c             |    1|     5|      2|      3|     NA|      1|     NA|
|flask         |   NA|     5|      2|      2|      1|     NA|     NA|
|ansible       |    5|     5|      2|      1|     NA|     NA|     NA|
|slack         |    1|     3|      2|      2|      1|     NA|     NA|
|typescript    |    2|     3|      2|     NA|     NA|     NA|     NA|
|fastapi       |    1|     2|      2|      3|     NA|     NA|     NA|
|alteryx       |    4|     1|      2|     NA|     NA|     NA|     NA|
|bash          |   10|    NA|      2|      1|     NA|     NA|      1|
|unix          |    7|    NA|      2|      3|     NA|     NA|     NA|
|powershell    |    2|    NA|      2|     NA|     NA|     NA|     NA|
|gitlab        |   10|     6|      1|     NA|      2|     NA|     NA|
|chef          |   NA|     5|      1|     NA|     NA|     NA|     NA|
|mongo         |   NA|     1|      1|      1|     NA|     NA|     NA|
|spring        |    2|     1|      1|     NA|     NA|     NA|     NA|
|theano        |   NA|    NA|      1|      1|     NA|     NA|     NA|
|golang        |    4|    NA|      1|      1|     NA|     NA|     NA|
|django        |   NA|    NA|      1|      1|     NA|     NA|     NA|
|twilio        |   NA|    NA|      1|     NA|     NA|     NA|     NA|
|solidity      |   NA|    NA|      1|     NA|     NA|     NA|     NA|
|puppet        |    2|    NA|      1|     NA|     NA|     NA|     NA|
|notion        |   NA|    NA|      1|     NA|     NA|     NA|     NA|
|node          |   NA|    NA|      1|     NA|     NA|     NA|     NA|
|mxnet         |   NA|    NA|      1|     NA|     NA|     NA|     NA|
|assembly      |    5|    NA|      1|     NA|     NA|     NA|     NA|
|linux         |    6|    24|     NA|      6|     NA|     NA|     NA|
|sas           |   11|    14|     NA|      1|     NA|     NA|     NA|
|keras         |    2|    13|     NA|      6|      2|     NA|     NA|
|express       |   NA|    10|     NA|     NA|     NA|     NA|     NA|
|vba           |    4|     7|     NA|     NA|     NA|     NA|     NA|
|node.js       |    4|     6|     NA|     NA|     NA|     NA|     NA|
|angular       |    3|     5|     NA|     NA|      1|     NA|     NA|
