

|Skills       | T6_9| T9_12| T12_15| T15_18| T18_21| T21_24| T24_27|Job                       |
|:------------|----:|-----:|------:|------:|------:|------:|------:|:-------------------------|
|sql          |    9|    78|     27|     71|      1|     NA|     NA|Data Engineer             |
|python       |    7|    88|     21|     68|      1|      1|      1|Data Engineer             |
|aws          |    3|    55|     21|     39|     NA|     NA|      1|Data Engineer             |
|python       |   26|    34|     21|     58|      7|     NA|     NA|Data Scientist            |
|spark        |    6|    50|     19|     57|     NA|      3|      2|Data Engineer             |
|airflow      |    1|    19|     14|     24|      1|     NA|      1|Data Engineer             |
|sql          |   17|    27|     12|     40|      6|     NA|     NA|Data Scientist            |
|azure        |    5|    46|     11|     26|      1|     NA|      1|Data Engineer             |
|git          |    2|    25|      9|      8|     NA|     NA|     NA|Data Engineer             |
|snowflake    |   NA|     9|      9|     15|     NA|     NA|      1|Data Engineer             |
|bigquery     |   NA|     8|      9|     12|     NA|     NA|     NA|Data Engineer             |
|scala        |    1|    27|      8|     24|     NA|     NA|     NA|Data Engineer             |
|gcp          |    3|    23|      8|     17|     NA|     NA|     NA|Data Engineer             |
|docker       |    2|    23|      8|     12|     NA|     NA|     NA|Data Engineer             |
|kubernetes   |    1|    18|      7|      7|      1|     NA|      1|Data Engineer             |
|pyspark      |   NA|     8|      7|      9|      1|     NA|     NA|Data Engineer             |
|azure        |    6|     5|      7|     14|      1|     NA|     NA|Data Scientist            |
|aws          |    4|     3|      6|     17|      3|     NA|     NA|Data Scientist            |
|sql          |   28|    98|      5|     12|     NA|     NA|     NA|Data Analyst              |
|java         |    3|    35|      5|     31|     NA|     NA|     NA|Data Engineer             |
|hadoop       |    3|    19|      5|     19|     NA|     NA|      1|Data Engineer             |
|tableau      |    6|     8|      5|     18|      2|     NA|     NA|Data Scientist            |
|spark        |    6|     6|      5|     20|      2|     NA|     NA|Data Scientist            |
|pandas       |    6|     1|      5|     12|      1|     NA|     NA|Data Scientist            |
|databricks   |   NA|    24|      4|     10|      1|     NA|     NA|Data Engineer             |
|tableau      |    4|     8|      4|     12|     NA|     NA|     NA|Data Engineer             |
|oracle       |   NA|     8|      4|      7|     NA|     NA|     NA|Data Engineer             |
|go           |    1|     6|      4|      7|     NA|     NA|      1|Data Engineer             |
|scikit-learn |    5|     5|      4|     10|      1|     NA|     NA|Data Scientist            |
|gcp          |    1|     1|      4|      4|      1|     NA|     NA|Data Scientist            |
|python       |   20|    70|      3|     11|     NA|      2|     NA|Data Analyst              |
|kafka        |    3|    25|      3|     27|     NA|     NA|     NA|Data Engineer             |
|looker       |    2|    20|      3|      1|     NA|     NA|     NA|Data Analyst              |
|tableau      |   NA|    18|      3|     NA|     NA|     NA|     NA|Senior Data Analyst       |
|terraform    |    3|    12|      3|     16|     NA|     NA|     NA|Data Engineer             |
|mysql        |   NA|     6|      3|      8|     NA|     NA|     NA|Data Engineer             |
|jira         |   NA|     4|      3|      4|     NA|     NA|     NA|Data Engineer             |
|numpy        |    3|     2|      3|      8|      1|     NA|     NA|Data Scientist            |
|databricks   |    3|     2|      3|      3|      1|     NA|     NA|Data Scientist            |
|docker       |    2|     2|      3|      7|     NA|     NA|     NA|Data Scientist            |
|pandas       |   NA|     2|      3|     NA|     NA|     NA|     NA|Data Engineer             |
|postgresql   |   NA|    11|      2|      8|     NA|     NA|     NA|Data Engineer             |
|python       |    6|    10|      2|      5|     NA|      3|     NA|Software Engineer         |
|redshift     |    1|    10|      2|     10|     NA|     NA|     NA|Data Engineer             |
|go           |   NA|     8|      2|     NA|     NA|     NA|     NA|Senior Data Analyst       |
|tensorflow   |    7|     6|      2|     13|      1|     NA|     NA|Data Scientist            |
|looker       |   NA|     6|      2|      4|     NA|     NA|     NA|Data Engineer             |
|bigquery     |   NA|     6|      2|      2|     NA|     NA|     NA|Data Analyst              |
|pytorch      |    7|     5|      2|     10|      1|     NA|     NA|Data Scientist            |
|looker       |    2|     4|      2|      6|     NA|     NA|     NA|Data Scientist            |
|go           |    1|     4|      2|      5|     NA|     NA|     NA|Data Scientist            |
|git          |    5|     3|      2|      8|      2|     NA|     NA|Data Scientist            |
|hadoop       |    1|     3|      2|     11|      1|     NA|     NA|Data Scientist            |
|java         |    4|     2|      2|      4|      2|     NA|     NA|Data Scientist            |
|snowflake    |    3|     2|      2|      6|      1|     NA|     NA|Data Scientist            |
|scala        |    4|     2|      2|      4|     NA|     NA|     NA|Data Scientist            |
|bigquery     |    2|     1|      2|      2|      1|     NA|     NA|Data Scientist            |
|airflow      |    2|     1|      2|      7|     NA|     NA|     NA|Data Scientist            |
|kubernetes   |    1|     1|      2|      6|     NA|     NA|     NA|Data Scientist            |
|tableau      |   15|    55|      1|      3|     NA|     NA|     NA|Data Analyst              |
|python       |   14|    42|      1|     41|     10|      1|      3|Machine Learning Engineer |
|sql          |   NA|    38|      1|      1|     NA|     NA|     NA|Senior Data Analyst       |
|aws          |    8|    20|      1|     18|      2|      1|      2|Machine Learning Engineer |
|python       |   NA|    18|      1|      1|     NA|      1|     NA|Senior Data Analyst       |
|tensorflow   |    7|    16|      1|     16|      6|     NA|     NA|Machine Learning Engineer |
|azure        |    6|    12|      1|      7|      1|     NA|      1|Machine Learning Engineer |
|scikit-learn |    2|    11|      1|      3|      3|     NA|     NA|Machine Learning Engineer |
|python       |    4|    10|      1|     38|      3|     NA|      1|Senior Data Scientist     |
|kubernetes   |    6|    10|      1|     10|      3|     NA|     NA|Machine Learning Engineer |
|sql          |    3|     6|      1|     35|      2|     NA|     NA|Senior Data Scientist     |
|go           |    2|     6|      1|      2|     NA|     NA|     NA|Data Analyst              |
|snowflake    |   NA|     6|      1|     NA|     NA|     NA|     NA|Senior Data Analyst       |
|bigquery     |   NA|     6|      1|     NA|     NA|     NA|     NA|Senior Data Analyst       |
|java         |    5|     5|      1|      1|     NA|      1|     NA|Software Engineer         |
|azure        |   NA|     5|      1|     NA|     NA|      1|     NA|Cloud Engineer            |
|sql          |    3|     4|      1|      4|     NA|      3|     NA|Software Engineer         |
|hadoop       |    4|     4|      1|      1|      1|     NA|     NA|Data Analyst              |
|gcp          |    2|     4|      1|      5|      1|     NA|     NA|Machine Learning Engineer |
