

|   |Country     |Data Analyst |Data Engineer |Data Scientist |Machine Learning Engineer |Senior Data Engineer |Senior Data Scientist |Software Engineer |Senior Data Analyst |Business Analyst |Cloud Engineer |Total       |
|:--|:-----------|:------------|:-------------|:--------------|:-------------------------|:--------------------|:---------------------|:-----------------|:-------------------|:----------------|:--------------|:-----------|
|5  |Germany     |48( 19% )    |39( 15% )     |41( 16% )      |39( 15% )                 |26( 10% )            |21( 8% )              |10( 4% )          |15( 6% )            |11( 4% )         |7( 3% )        |257 (17%)   |
|4  |France      |50( 21% )    |62( 26% )     |57( 24% )      |17( 7% )                  |15( 6% )             |9( 4% )               |11( 5% )          |12( 5% )            |3( 1% )          |1( 0.4% )      |237 (16%)   |
|11 |Poland      |43( 22% )    |46( 23% )     |29( 14% )      |23( 12% )                 |9( 4% )              |12( 6% )              |15( 8% )          |9( 4% )             |8( 4% )          |6( 3% )        |200 (13%)   |
|14 |Spain       |30( 21% )    |35( 24% )     |20( 14% )      |16( 11% )                 |11( 8% )             |7( 5% )               |8( 6% )           |9( 6% )             |5( 3% )          |3( 2% )        |144 (10%)   |
|12 |Portugal    |37( 28% )    |30( 23% )     |22( 17% )      |14( 11% )                 |5( 4% )              |11( 8% )              |5( 4% )           |4( 3% )             |3( 2% )          |0( 0% )        |131 (9%)    |
|10 |Netherlands |20( 23% )    |23( 26% )     |17( 20% )      |12( 14% )                 |5( 6% )              |3( 3% )               |3( 3% )           |1( 1% )             |3( 3% )          |0( 0% )        |87 (6%)     |
|6  |Greece      |16( 20% )    |24( 29% )     |12( 15% )      |14( 17% )                 |1( 1% )              |6( 7% )               |6( 7% )           |0( 0% )             |3( 4% )          |0( 0% )        |82 (6%)     |
|7  |Hungary     |18( 29% )    |13( 21% )     |13( 21% )      |5( 8% )                   |3( 5% )              |3( 5% )               |4( 6% )           |2( 3% )             |0( 0% )          |1( 2% )        |62 (4%)     |
|1  |Belgium     |20( 35% )    |11( 19% )     |8( 14% )       |7( 12% )                  |1( 2% )              |3( 5% )               |2( 4% )           |0( 0% )             |5( 9% )          |0( 0% )        |57 (4%)     |
|8  |Ireland     |19( 36% )    |9( 17% )      |6( 11% )       |5( 9% )                   |6( 11% )             |4( 8% )               |1( 2% )           |3( 6% )             |0( 0% )          |0( 0% )        |53 (4%)     |
|9  |Italy       |11( 23% )    |12( 26% )     |12( 26% )      |3( 6% )                   |0( 0% )              |3( 6% )               |2( 4% )           |3( 6% )             |1( 2% )          |0( 0% )        |47 (3%)     |
|15 |Sweden      |9( 19% )     |8( 17% )      |7( 15% )       |3( 6% )                   |6( 13% )             |3( 6% )               |1( 2% )           |3( 6% )             |7( 15% )         |0( 0% )        |47 (3%)     |
|13 |Romania     |12( 30% )    |6( 15% )      |7( 18% )       |3( 8% )                   |2( 5% )              |0( 0% )               |4( 10% )          |4( 10% )            |1( 2% )          |1( 2% )        |40 (3%)     |
|3  |Finland     |5( 19% )     |5( 19% )      |4( 15% )       |4( 15% )                  |2( 8% )              |2( 8% )               |1( 4% )           |3( 12% )            |0( 0% )          |0( 0% )        |26 (2%)     |
|2  |Denmark     |5( 28% )     |2( 11% )      |7( 39% )       |2( 11% )                  |2( 11% )             |0( 0% )               |0( 0% )           |0( 0% )             |0( 0% )          |0( 0% )        |18 (1%)     |
|16 |Total       |343 (23%)    |325 (22%)     |262 (18%)      |167 (11%)                 |94 (6%)              |87 (6%)               |73 (5%)           |68 (5%)             |50 (3%)          |19 (1%)        |1488 (100%) |
##------ Thu Dec  5 17:33:05 2024 ------##
[1] "Europe/Paris"
[1] "YoJoseParra"
