

|Country     |Parameter    |Business Analyst |Cloud Engineer |Data Analyst |Data Engineer |Data Scientist |Machine Learning Engineer |Senior Data Analyst |Senior Data Engineer |Senior Data Scientist |Software Engineer |
|:-----------|:------------|:----------------|:--------------|:------------|:-------------|:--------------|:-------------------------|:-------------------|:--------------------|:---------------------|:-----------------|
|Belgium     |Mean (SD)    |85 (9)           |NA             |99 (46)      |110 (30)      |122 (43)       |86 (11)                   |NA                  |91 (0)               |80 (19)               |60 (20)           |
|Belgium     |Median (IQR) |91 (16)          |NA             |80 (69)      |101 (34)      |127 (71)       |91 (16)                   |NA                  |91 (0)               |91 (16)               |60 (14)           |
|Belgium     |N            |5.0              |               |20.0         |11.0          |8.0            |7.0                       |                    |1.0                  |3.0                   |2.0               |
|Denmark     |Mean (SD)    |NA               |NA             |81 (14)      |125 (36)      |116 (38)       |139 (44)                  |NA                  |151 (0)              |NA                    |NA                |
|Denmark     |Median (IQR) |NA               |NA             |91 (16)      |125 (26)      |112 (43)       |139 (31)                  |NA                  |151 (0)              |NA                    |NA                |
|Denmark     |N            |                 |               |5.0          |2.0           |7.0            |2.0                       |                    |2.0                  |                      |                  |
|Finland     |Mean (SD)    |NA               |NA             |111 (40)     |96 (4)        |120 (32)       |149 (43)                  |110 (6)             |103 (6)              |126 (50)              |77 (0)            |
|Finland     |Median (IQR) |NA               |NA             |108 (53)     |99 (7)        |118 (28)       |158 (44)                  |114 (5)             |103 (4)              |126 (35)              |77 (0)            |
|Finland     |N            |                 |               |5.0          |5.0           |4.0            |4.0                       |3.0                 |2.0                  |2.0                   |1.0               |
|France      |Mean (SD)    |83 (35)          |109 (0)        |84 (34)      |119 (34)      |102 (41)       |93 (37)                   |107 (25)            |139 (25)             |146 (31)              |131 (62)          |
|France      |Median (IQR) |91 (35)          |109 (0)        |71 (59)      |101 (52)      |90 (72)        |83 (49)                   |114 (22)            |151 (0)              |162 (0)               |146 (105)         |
|France      |N            |3.0              |1.0            |50.0         |62.0          |57.0           |17.0                      |12.0                |15.0                 |9.0                   |11.0              |
